vdw_corr,stacking,disregistry,d,energy
dft-d,AB,0.0,3.0,-154.90970278135342
dft-d,AB,0.0,3.2,-154.91444443314842
dft-d,AB,0.0,3.21,-154.91450371995262
dft-d,AB,0.0,3.22,-154.91454678196877
dft-d,AB,0.0,3.23,-154.9145745715953
dft-d,AB,0.0,3.24,-154.91458712284643
dft-d,AB,0.0,3.25,-154.9145838574803
dft-d,AB,0.0,3.26,-154.91456555782415
dft-d,AB,0.0,3.27,-154.91454035327916
dft-d,AB,0.0,3.28,-154.91451732564494
dft-d,AB,0.0,3.29,-154.9144886176342
dft-d,AB,0.0,3.3,-154.9144635151319
dft-d,AB,0.0,3.31,-154.9144331064096
dft-d,AB,0.0,3.32,-154.91439283356038
dft-d,AB,0.0,3.33,-154.91434102988694
dft-d,AB,0.0,3.34,-154.91427803553162
dft-d,AB,0.0,3.35,-154.91420497296394
dft-d,AB,0.0,3.36,-154.91412187619824
dft-d,AB,0.0,3.37,-154.9140278268502
dft-d,AB,0.0,3.38,-154.91392479774527
dft-d,AB,0.0,3.39,-154.91382176864033
dft-d,AB,0.0,3.4,-154.91372458998308
dft-d,AB,0.0,3.41,-154.9136269351266
dft-d,AB,0.0,3.42,-154.91353632121587
dft-d,AB,0.0,3.43,-154.91344291813823
dft-d,AB,0.0,3.44,-154.91334094347445
dft-d,AB,0.0,3.45,-154.91323063532414
dft-d,AB,0.0,3.46,-154.91311277601457
dft-d,AB,0.0,3.47,-154.91298831794427
dft-d,AB,0.0,3.48,-154.9128565128001
dft-d,AB,0.0,3.49,-154.91271688438286
dft-d,AB,0.0,3.5,-154.91257215383104
dft-d,AB,0.0,3.51,-154.9124336478834
dft-d,AB,0.0,3.52,-154.9123005501985
dft-d,AB,0.0,3.53,-154.91217167027818
dft-d,AB,0.0,3.54,-154.91205054560248
dft-d,AB,0.0,3.55,-154.91192615556062
dft-d,AB,0.0,3.56,-154.91179489464417
dft-d,AB,0.0,3.57,-154.91165761320886
dft-d,AB,0.0,3.58,-154.91151502555357
dft-d,AB,0.0,3.59,-154.91136723372094
dft-d,AB,0.0,3.6,-154.9112135234122
dft-d,AB,0.0,3.61,-154.91105284018613
dft-d,AB,0.0,3.62,-154.91089205491738
dft-d,AB,0.0,3.63,-154.91074123581822
dft-d,AB,0.0,3.64,-154.91059436236984
dft-d,AB,0.0,3.65,-154.91045602649336
dft-d,AB,0.0,3.66,-154.91032371113576
dft-d,AB,0.0,3.67,-154.9101882324547
dft-d,AB,0.0,3.68,-154.91004635909823
dft-d,AB,0.0,3.69,-154.90989979177795
dft-d,AB,0.0,3.7,-154.90974914274992
dft-d,AB,0.0,3.71,-154.90959410588619
dft-d,AB,0.0,3.72,-154.9094338648451
dft-d,AB,0.0,3.73,-154.90926896385443
dft-d,AB,0.0,3.74,-154.909107192173
dft-d,AB,0.0,3.75,-154.90895647511653
dft-d,AB,0.0,3.76,-154.90880932955432
dft-d,AB,0.0,3.77,-154.90867334065976
dft-d,AB,0.0,3.78,-154.9085406171314
dft-d,AB,0.0,3.79,-154.90840350576724
dft-d,AB,0.0,3.8,-154.90826159839654
dft-d,AB,0.0,4.0,-154.90539617156972
dft-d,AB,0.0,4.5,-154.89986158002745
dft-d,AB,0.0,5.0,-154.896279371316
dft-d,AB,0.0,6.0,-154.89275366024185
dft-d,AB,0.0,7.0,-154.8916151359102
dft-d,SP,0.16667,3.0,-154.9068352456443
dft-d,SP,0.16667,3.2,-154.91306464587808
dft-d,SP,0.16667,3.21,-154.9131686613957
dft-d,SP,0.16667,3.22,-154.9132564861395
dft-d,SP,0.16667,3.23,-154.91332900447946
dft-d,SP,0.16667,3.24,-154.9133867946575
dft-d,SP,0.16667,3.25,-154.9134294825171
dft-d,SP,0.16667,3.26,-154.91345897285515
dft-d,SP,0.16667,3.27,-154.9134785990663
dft-d,SP,0.16667,3.28,-154.9134937694132
dft-d,SP,0.16667,3.29,-154.91350121852975
dft-d,SP,0.16667,3.3,-154.9135048240382
dft-d,SP,0.16667,3.31,-154.91350196684283
dft-d,SP,0.16667,3.32,-154.91348863326436
dft-d,SP,0.16667,3.33,-154.91346448316054
dft-d,SP,0.16667,3.34,-154.91343074104364
dft-d,SP,0.16667,3.35,-154.91338778107018
dft-d,SP,0.16667,3.36,-154.9133357733114
dft-d,SP,0.16667,3.37,-154.91327481980986
dft-d,SP,0.16667,3.38,-154.91320573690723
dft-d,SP,0.16667,3.39,-154.9131335927238
dft-d,SP,0.16667,3.4,-154.91306131248345
dft-d,SP,0.16667,3.41,-154.91298600497657
dft-d,SP,0.16667,3.42,-154.9129115818397
dft-d,SP,0.16667,3.43,-154.91283304298088
dft-d,SP,0.16667,3.44,-154.91274770127595
dft-d,SP,0.16667,3.45,-154.91265593088136
dft-d,SP,0.16667,3.46,-154.91255813996796
dft-d,SP,0.16667,3.47,-154.9124544305784
dft-d,SP,0.16667,3.48,-154.91234463264155
dft-d,SP,0.16667,3.49,-154.9122293243993
dft-d,SP,0.16667,3.5,-154.912109730364
dft-d,SP,0.16667,3.51,-154.91199166696904
dft-d,SP,0.16667,3.52,-154.9118750321718
dft-d,SP,0.16667,3.53,-154.91175894160227
dft-d,SP,0.16667,3.54,-154.91164564019965
dft-d,SP,0.16667,3.55,-154.91152866526008
dft-d,SP,0.16667,3.56,-154.91140832291168
dft-d,SP,0.16667,3.57,-154.91128304849983
dft-d,SP,0.16667,3.58,-154.91115386245144
dft-d,SP,0.16667,3.59,-154.91102090082347
dft-d,SP,0.16667,3.6,-154.91088406157314
dft-d,SP,0.16667,3.61,-154.91074324265784
dft-d,SP,0.16667,3.62,-154.91060109718754
dft-d,SP,0.16667,3.63,-154.9104633735672
dft-d,SP,0.16667,3.64,-154.91032711255886
dft-d,SP,0.16667,3.65,-154.91019469515854
dft-d,SP,0.16667,3.66,-154.91006482882554
dft-d,SP,0.16667,3.67,-154.90993244543947
dft-d,SP,0.16667,3.68,-154.90979669464454
dft-d,SP,0.16667,3.69,-154.90965801862575
dft-d,SP,0.16667,3.7,-154.90951675752547
dft-d,SP,0.16667,3.71,-154.90937280930092
dft-d,SP,0.16667,3.72,-154.9092259018383
dft-d,SP,0.16667,3.73,-154.90907630725147
dft-d,SP,0.16667,3.74,-154.90892814126232
dft-d,SP,0.16667,3.75,-154.90878551959278
dft-d,SP,0.16667,3.76,-154.90864466666326
dft-d,SP,0.16667,3.77,-154.908509460096
dft-d,SP,0.16667,3.78,-154.90837585219765
dft-d,SP,0.16667,3.79,-154.90823996534579
dft-d,SP,0.16667,3.8,-154.9081015954551
dft-d,SP,0.16667,4.0,-154.90534069435935
dft-d,SP,0.16667,4.5,-154.89985705613478
dft-d,SP,0.16667,5.0,-154.89628818100178
dft-d,SP,0.16667,6.0,-154.892773286453
dft-d,SP,0.16667,7.0,-154.89162935385863
dft-d,Mid,0.5,3.0,-154.90044808740828
dft-d,Mid,0.5,3.2,-154.90942784432627
dft-d,Mid,0.5,3.21,-154.90964240609384
dft-d,Mid,0.5,3.22,-154.90983557291028
dft-d,Mid,0.5,3.23,-154.91000989584288
dft-d,Mid,0.5,3.24,-154.91016585109085
dft-d,Mid,0.5,3.25,-154.91030190801385
dft-d,Mid,0.5,3.26,-154.9104203115511
dft-d,Mid,0.5,3.27,-154.91052636792259
dft-d,Mid,0.5,3.28,-154.9106302473833
dft-d,Mid,0.5,3.29,-154.91072528314402
dft-d,Mid,0.5,3.3,-154.9108186522074
dft-d,Mid,0.5,3.31,-154.91090610279468
dft-d,Mid,0.5,3.32,-154.91097862113463
dft-d,Mid,0.5,3.33,-154.91103460855845
dft-d,Mid,0.5,3.34,-154.91107777261726
