stacking,disregistry,d,energy,energy_err
AB,0.0,3.0,-154.59838848903811,0.0003284085896175
AB,0.0,3.2,-154.60879649078777,0.000277668991492
AB,0.0,3.35,-154.61211861440316,0.0002642673144253
AB,0.0,3.5,-154.61277175921708,0.0002820402544531
AB,0.0,3.65,-154.6110031845091,0.0003739039965849
AB,0.0,3.8,-154.60876030131882,0.0002301635578443
AB,0.0,4.0,-154.60656528104167,0.0002780404834707
AB,0.0,4.5,-154.5999996531767,0.0002557938474963
AB,0.0,5.0,-154.59614921457785,0.0002352767101463
AB,0.0,6.0,-154.59333316076618,0.0002174740754617
AB,0.0,7.0,-154.59241534588855,0.0002212227707233
SP,0.16667,3.0,-154.5951880457248,0.0001449699432391
SP,0.16667,3.2,-154.6079587093246,0.0001745750961273
SP,0.16667,3.35,-154.611276151179,0.0001467577380971
SP,0.16667,3.5,-154.61225852040766,0.0001636616839839
SP,0.16667,3.65,-154.61120926300595,0.0001936176608932
SP,0.16667,3.8,-154.60898703807416,0.0002624834992686
SP,0.16667,4.0,-154.60606709529716,0.0001524851598764
SP,0.16667,4.5,-154.59997426820684,0.0001967509135933
SP,0.16667,5.0,-154.5957932721535,0.0001811920852881
SP,0.16667,6.0,-154.59303887491706,0.0001709368566696
SP,0.16667,7.0,-154.59196947063657,0.0001522617967832
Mid,0.5,3.0,-154.58698702200311,0.0002839309666854
Mid,0.5,3.2,-154.60295227069872,0.0002119590097386
Mid,0.5,3.35,-154.6079086097125,0.0002741314913113
Mid,0.5,3.5,-154.60965712755137,0.0002712241272906
Mid,0.5,3.65,-154.6099992764896,0.0002740886824627
Mid,0.5,3.8,-154.60837891748778,0.000216771877163
Mid,0.5,4.0,-154.60597551888904,0.0002292337966626
Mid,0.5,4.5,-154.5997248003485,0.0002388315661657
Mid,0.5,5.0,-154.596075918088,0.0003318745650588
Mid,0.5,6.0,-154.59309426914064,0.0002056364721297
Mid,0.5,7.0,-154.59225565395343,0.0002147588216028
AA,0.66667,3.0,-154.5701654197655,0.0002029173952334
AA,0.66667,3.2,-154.59443626430811,0.0004064732931104
AA,0.66667,3.35,-154.60341023142945,0.0002437113138212
AA,0.66667,3.5,-154.60700151782018,0.0002878172604445
AA,0.66667,3.65,-154.60822187242442,0.0003042091211104
AA,0.66667,3.8,-154.60707220882833,0.0002249770584902
AA,0.66667,4.0,-154.605340485528,0.00037086559148
AA,0.66667,4.5,-154.6000980158751,0.0002508774695371
AA,0.66667,5.0,-154.5959313456857,0.0002775729330302
AA,0.66667,6.0,-154.59326985859062,0.0002369961091182
AA,0.66667,7.0,-154.5917503407324,0.000318799633055
