label,disregistry,d,energy,energy_inf,stacking
fit/DFT-D2-kT0.019,0.0,2.8,-154.89460484960463,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,2.81,-154.8957816427435,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,2.82,-154.89690535506173,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,2.83,-154.89797786886427,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,2.84,-154.89900100459738,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,2.85,-154.89997652280968,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,2.86,-154.90090612605275,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,2.87,-154.90179146072242,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,2.88,-154.9026341188434,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,2.89,-154.90343563979806,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,2.9,-154.90419751200199,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,2.91,-154.90492117452723,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,2.92,-154.90560801867503,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,2.93,-154.90625938949975,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,2.94,-154.90687658728544,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,2.95,-154.90746086897607,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,2.96,-154.90801344956168,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,2.97,-154.9085355034207,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,2.98,-154.9090281656209,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,2.99,-154.90949253317942,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.0,-154.90992966628357,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.01,-154.91034058947324,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.02,-154.9107262927866,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.03,-154.91108773286965,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.04,-154.91142583405127,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.05,-154.9117414893843,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.06,-154.91203556165416,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.07,-154.91230888435575,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.08,-154.91256226263963,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.09,-154.91279647422843,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.1,-154.9130122703046,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.11,-154.91321037637,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.12,-154.91339149307862,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.13,-154.91355629704287,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.14,-154.9137054416147,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.15,-154.91383955764164,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.16,-154.91395925419957,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.17,-154.91406511930177,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.18,-154.91415772058588,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.19,-154.91423760597905,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.2,-154.91430530434198,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.21,-154.91436132609257,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.22,-154.91440616380999,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.23,-154.9144402928192,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.24,-154.9144641717573,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.25,-154.9144782431216,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.26,-154.91448293380054,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.27,-154.91447865558746,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.28,-154.91446580567822,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.29,-154.91444476715273,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.3,-154.91441590944152,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.31,-154.91437958877694,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.32,-154.91433614863035,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.33,-154.9142859201352,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.34,-154.91422922249646,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.35,-154.91416636338724,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.36,-154.91409763933237,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.37,-154.91402333608005,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.38,-154.91394372896124,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.39,-154.9138590832377,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.4,-154.91376965443894,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.41,-154.9136756886881,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.42,-154.91357742301756,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.43,-154.91347508567424,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.44,-154.9133688964152,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.45,-154.91325906679361,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.46,-154.91314580043553,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.47,-154.91302929330774,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.48,-154.91290973397696,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.49,-154.9127873038606,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.5,-154.91266217746949,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.51,-154.9125345226426,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.52,-154.91240450077444,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.53,-154.9122722670346,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.54,-154.91213797058077,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.55,-154.91200175476416,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.56,-154.9118637573289,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.57,-154.91172411060438,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.58,-154.91158294169176,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.59,-154.91144037264405,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.6,-154.9112965206405,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.61,-154.91115149815528,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.62,-154.9110054131206,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.63,-154.91085836908445,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.64,-154.91071046536322,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.65,-154.91056179718933,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.66,-154.910412455854,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.67,-154.91026252884515,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.68,-154.91011209998115,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.69,-154.90996124953972,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.7,-154.90981005438292,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.71,-154.9096585880777,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.72,-154.9095069210129,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.73,-154.90935512051183,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.74,-154.90920325094166,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.75,-154.9090513738187,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.76,-154.90889954791055,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.77,-154.90874782933466,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.78,-154.90859627165364,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.79,-154.90844492596747,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.8,-154.90829384100252,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.81,-154.90814306319766,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.82,-154.90799263678747,-154.89051491128288,AB
fit/DFT-D2-kT0.019,0.0,3.83,-154.90784260388273,-154.89051491128288,AB
