label,disregistry,d,energy,energy_inf,stacking
fit/DFT-D2-kTinf,0.0,2.8,-154.89522610980327,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,2.81,-154.89635739984735,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,2.82,-154.89743816068986,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,2.83,-154.89847015522074,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,2.84,-154.89945508949396,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,2.85,-154.90039461449092,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,2.86,-154.90129032783085,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,2.87,-154.90214377542918,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,2.88,-154.90295645310596,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,2.89,-154.90372980814524,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,2.9,-154.90446524080758,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,2.91,-154.90516410579633,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,2.92,-154.90582771367954,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,2.93,-154.90645733226862,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,2.94,-154.9070541879551,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,2.95,-154.90761946700675,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,2.96,-154.90815431682412,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,2.97,-154.90865984715887,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,2.98,-154.90913713129495,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,2.99,-154.90958720719365,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.0,-154.91001107860376,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.01,-154.91040971613782,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.02,-154.9107840583153,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.03,-154.91113501257402,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.04,-154.91146345625057,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.05,-154.9117702375305,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.06,-154.91205617636962,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.07,-154.9123220653868,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.08,-154.91256867072954,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.09,-154.91279673291277,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.1,-154.91300696763193,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.11,-154.913200066551,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.12,-154.9133766980663,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.13,-154.91353750804657,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.14,-154.9136831205506,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.15,-154.9138141385221,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.16,-154.91393114446387,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.17,-154.9140347010904,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.18,-154.91412535196076,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.19,-154.9142036220916,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.2,-154.91427001855152,-154.89046102504255,AB
fit/DFT-D2-kTinf,0.0,3.21,-154.91432503103647,-154.89046102504255,AB
