label,disregistry,d,energy,energy_inf,stacking
fit/Ouyang,0.0,2.8,0.006829329223665865,0,AB
fit/Ouyang,0.0,2.81,0.0053122464647996775,0,AB
fit/Ouyang,0.0,2.82,0.00385184880657354,0,AB
fit/Ouyang,0.0,2.83,0.0024464220622588853,0,AB
fit/Ouyang,0.0,2.84,0.0010942996619121297,0,AB
fit/Ouyang,0.0,2.85,-0.00020613859626909678,0,AB
fit/Ouyang,0.0,2.86,-0.001456467763818498,0,AB
fit/Ouyang,0.0,2.87,-0.0026582189297855,0,AB
fit/Ouyang,0.0,2.88,-0.00381288037909291,0,AB
fit/Ouyang,0.0,2.89,-0.00492189872215944,0,AB
fit/Ouyang,0.0,2.9,-0.005986679996405465,0,AB
fit/Ouyang,0.0,2.91,-0.0070085907403093,0,AB
fit/Ouyang,0.0,2.92,-0.007988959040623977,0,AB
fit/Ouyang,0.0,2.93,-0.008929075553379165,0,AB
fit/Ouyang,0.0,2.94,-0.00983019449926957,0,AB
fit/Ouyang,0.0,2.95,-0.010693534634017244,0,AB
fit/Ouyang,0.0,2.96,-0.011520280194296923,0,AB
fit/Ouyang,0.0,2.97,-0.012311581819792448,0,AB
fit/Ouyang,0.0,2.98,-0.013068557451929712,0,AB
fit/Ouyang,0.0,2.99,-0.013792293209850837,0,AB
fit/Ouyang,0.0,3.0,-0.014483844244154267,0,AB
fit/Ouyang,0.0,3.01,-0.01514423556892737,0,AB
fit/Ouyang,0.0,3.02,-0.01577446287258634,0,AB
fit/Ouyang,0.0,3.03,-0.016375493308027043,0,AB
fit/Ouyang,0.0,3.04,-0.016948266262577602,0,AB
fit/Ouyang,0.0,3.05,-0.01749369410823888,0,AB
fit/Ouyang,0.0,3.06,-0.018012662932680154,0,AB
fit/Ouyang,0.0,3.07,-0.018506033251457856,0,AB
fit/Ouyang,0.0,3.08,-0.01897464070190304,0,AB
fit/Ouyang,0.0,3.09,-0.01941929671912516,0,AB
fit/Ouyang,0.0,3.1,-0.019840789194567186,0,AB
fit/Ouyang,0.0,3.11,-0.020239883117524088,0,AB
fit/Ouyang,0.0,3.12,-0.020617321200056868,0,AB
fit/Ouyang,0.0,3.13,-0.02097382448568983,0,AB
fit/Ouyang,0.0,3.14,-0.021310092942295453,0,AB
fit/Ouyang,0.0,3.15,-0.021626806039560745,0,AB
fit/Ouyang,0.0,3.16,-0.021924623311398665,0,AB
fit/Ouyang,0.0,3.17,-0.02220418490368715,0,AB
fit/Ouyang,0.0,3.18,-0.022466112107690926,0,AB
fit/Ouyang,0.0,3.19,-0.022711007879529108,0,AB
fit/Ouyang,0.0,3.2,-0.022939457346019498,0,AB
fit/Ouyang,0.0,3.21,-0.023152028297250552,0,AB
fit/Ouyang,0.0,3.22,-0.02334927166620512,0,AB
fit/Ouyang,0.0,3.23,-0.02353172199576147,0,AB
fit/Ouyang,0.0,3.24,-0.02369989789338246,0,AB
fit/Ouyang,0.0,3.25,-0.023854302473805832,0,AB
fit/Ouyang,0.0,3.26,-0.023995423790032118,0,AB
fit/Ouyang,0.0,3.27,-0.024123735252906283,0,AB
fit/Ouyang,0.0,3.28,-0.024239696039582318,0,AB
fit/Ouyang,0.0,3.29,-0.024343751491139258,0,AB
fit/Ouyang,0.0,3.3,-0.02443633349964515,0,AB
