stacking,disregistry,d,energy,energy_err
AB,0.0,3.0,-0.008212224331401785,0.000328408589617592
AB,0.0,3.2,-0.018620226081054625,0.0002776689914920026
AB,0.0,3.35,-0.021942349696445262,0.00026426731442532453
AB,0.0,3.5,-0.022595494510369463,0.00028204025445310887
AB,0.0,3.65,-0.020826919802374277,0.000373903996584975
AB,0.0,3.8,-0.018584036612111277,0.00023016355784434423
AB,0.0,4.0,-0.01638901633495493,0.00027804048347075173
AB,0.0,4.5,-0.00982338846998232,0.00025579384749631714
AB,0.0,5.0,-0.005972949871136279,0.00023527671014632564
AB,0.0,6.0,-0.0031568960594654527,0.0002174740754617492
AB,0.0,7.0,-0.0022390811818411294,0.00022122277072332842
SP,0.16667,3.0,-0.00501178101811206,0.0001449699432391637
SP,0.16667,3.2,-0.017782444617864712,0.0001745750961273366
SP,0.16667,3.35,-0.021099886472285334,0.00014675773809715698
SP,0.16667,3.5,-0.022082255700951237,0.00016366168398396577
SP,0.16667,3.65,-0.021032998299261862,0.00019361766089320687
SP,0.16667,3.8,-0.01881077336744852,0.00026248349926866145
SP,0.16667,4.0,-0.015890830590450378,0.00015248515987643604
SP,0.16667,4.5,-0.009798003500122832,0.00019675091359330364
SP,0.16667,5.0,-0.005617007446772959,0.0001811920852881056
SP,0.16667,6.0,-0.002862610210343064,0.00017093685666960706
SP,0.16667,7.0,-0.0017932059298573222,0.00015226179678324943
Mid,0.5,3.0,0.0031892427035984383,0.0002839309666854704
Mid,0.5,3.2,-0.012776005992009232,0.0002119590097386526
Mid,0.5,3.35,-0.01773234500578269,0.0002741314913113757
Mid,0.5,3.5,-0.01948086284465944,0.0002712241272906982
Mid,0.5,3.65,-0.01982301178287571,0.0002740886824627545
Mid,0.5,3.8,-0.018202652781070583,0.00021677187716301495
Mid,0.5,4.0,-0.015799254182326194,0.00022923379666264058
Mid,0.5,4.5,-0.009548535641783928,0.0002388315661657376
Mid,0.5,5.0,-0.005899653381277403,0.00033187456505889124
Mid,0.5,6.0,-0.0029180044339227607,0.00020563647212970817
Mid,0.5,7.0,-0.0020793892467168007,0.00021475882160286127
AA,0.66667,3.0,0.020010844941225514,0.00020291739523343503
AA,0.66667,3.2,-0.004259999601401887,0.00040647329311042886
AA,0.66667,3.35,-0.013233966722737023,0.00024371131382122646
AA,0.66667,3.5,-0.016825253113466943,0.0002878172604445547
AA,0.66667,3.65,-0.0180456077177098,0.00030420912111045267
AA,0.66667,3.8,-0.016895944121614548,0.00022497705849020122
AA,0.66667,4.0,-0.01516422082127633,0.00037086559148007727
AA,0.66667,4.5,-0.009921751168377568,0.0002508774695371889
AA,0.66667,5.0,-0.005755080978985916,0.00027757293303028424
AA,0.66667,6.0,-0.0030935938839036226,0.0002369961091182125
AA,0.66667,7.0,-0.001574076025690374,0.00031879963305505215
