label,disregistry,d,energy,energy_inf,stacking
fit/QMC-kT0.019,0.0,2.8,-154.5686549717368,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,2.81,-154.57076900146083,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,2.82,-154.57279995205047,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,2.83,-154.57475061825897,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,2.84,-154.57662370607298,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,2.85,-154.57842183544645,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,2.86,-154.58014754295218,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,2.87,-154.58180328435353,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,2.88,-154.58339143709864,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,2.89,-154.5849143027393,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,2.9,-154.58637410927673,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,2.91,-154.58777301343682,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,2.92,-154.58911310287604,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,2.93,-154.59039639832125,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,2.94,-154.59162485564417,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,2.95,-154.59280036787354,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,2.96,-154.59392476714572,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,2.97,-154.59499982659676,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,2.98,-154.59602726219646,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,2.99,-154.59700873452724,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.0,-154.59794585050855,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.01,-154.59884016506916,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.02,-154.59969318276833,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.03,-154.60050635936787,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.04,-154.60128110335603,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.05,-154.60201877742517,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.06,-154.6027206999043,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.07,-154.60338814614778,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.08,-154.60402234988175,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.09,-154.6046245045094,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.1,-154.6051957643762,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.11,-154.60573724599664,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.12,-154.60625002924309,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.13,-154.6067351584986,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.14,-154.60719364377408,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.15,-154.60762646179134,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.16,-154.60803455703282,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.17,-154.60841884275916,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.18,-154.60878020199544,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.19,-154.60911948848698,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.2,-154.60943752762608,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.21,-154.60973511734966,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.22,-154.61001302900988,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.23,-154.6102720082173,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.24,-154.61051277565852,-154.59025778919926,AB
fit/QMC-kT0.019,0.0,3.25,-154.61073602788832,-154.59025778919926,AB
