label,disregistry,d,energy,energy_inf,stacking
fit/QMC-kTinf,0.0,2.8,-154.56929673767246,-154.59037872224192,AB
fit/QMC-kTinf,0.0,2.81,-154.57138195054327,-154.59037872224192,AB
fit/QMC-kTinf,0.0,2.82,-154.57338500777917,-154.59037872224192,AB
fit/QMC-kTinf,0.0,2.83,-154.57530867902548,-154.59037872224192,AB
fit/QMC-kTinf,0.0,2.84,-154.57715564576438,-154.59037872224192,AB
fit/QMC-kTinf,0.0,2.85,-154.57892850403655,-154.59037872224192,AB
fit/QMC-kTinf,0.0,2.86,-154.58062976708084,-154.59037872224192,AB
fit/QMC-kTinf,0.0,2.87,-154.58226186789423,-154.59037872224192,AB
fit/QMC-kTinf,0.0,2.88,-154.58382716171425,-154.59037872224192,AB
fit/QMC-kTinf,0.0,2.89,-154.58532792842632,-154.59037872224192,AB
fit/QMC-kTinf,0.0,2.9,-154.5867663748984,-154.59037872224192,AB
fit/QMC-kTinf,0.0,2.91,-154.58814463724462,-154.59037872224192,AB
fit/QMC-kTinf,0.0,2.92,-154.58946478302073,-154.59037872224192,AB
fit/QMC-kTinf,0.0,2.93,-154.59072881335248,-154.59037872224192,AB
fit/QMC-kTinf,0.0,2.94,-154.59193866499982,-154.59037872224192,AB
fit/QMC-kTinf,0.0,2.95,-154.59309621235806,-154.59037872224192,AB
fit/QMC-kTinf,0.0,2.96,-154.5942032693987,-154.59037872224192,AB
fit/QMC-kTinf,0.0,2.97,-154.5952615915506,-154.59037872224192,AB
fit/QMC-kTinf,0.0,2.98,-154.59627287752468,-154.59037872224192,AB
fit/QMC-kTinf,0.0,2.99,-154.59723877108226,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.0,-154.5981608627503,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.01,-154.59904069148365,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.02,-154.59987974627737,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.03,-154.60067946772898,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.04,-154.6014412495538,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.05,-154.60216644005342,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.06,-154.60285634353951,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.07,-154.6035122217141,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.08,-154.6041352950075,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.09,-154.60472674387526,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.1,-154.60528771005536,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.11,-154.60581929778695,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.12,-154.60632257499148,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.13,-154.60679857441772,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.14,-154.6072482947516,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.15,-154.6076727016918,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.16,-154.60807272899225,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.17,-154.6084492794728,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.18,-154.6088032259983,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.19,-154.60913541242783,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.2,-154.6094466545347,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.21,-154.60973774089769,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.22,-154.61000943376507,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.23,-154.61026246989186,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.24,-154.61049756135114,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.25,-154.61071539632024,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.26,-154.61091663984263,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.27,-154.6111019345662,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.28,-154.61127190145862,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.29,-154.61142714050052,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.3,-154.61156823135715,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.31,-154.61169573402915,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.32,-154.61181018948307,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.33,-154.61191212026236,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.34,-154.61200203107921,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.35,-154.61208040938817,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.36,-154.61214772594147,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.37,-154.6122044353276,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.38,-154.6122509764925,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.39,-154.6122877732449,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.4,-154.61231523474558,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.41,-154.6123337559815,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.42,-154.612343718225,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.43,-154.6123454894786,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.44,-154.61233942490597,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.45,-154.61232586724927,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.46,-154.61230514723334,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.47,-154.6122775839574,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.48,-154.61224348527412,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.49,-154.6122031481572,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.5,-154.61215685905685,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.51,-154.61210489424454,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.52,-154.61204752014655,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.53,-154.6119849936672,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.54,-154.61191756250176,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.55,-154.61184546543944,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.56,-154.611768932657,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.57,-154.61168818600277,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.58,-154.61160343927185,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.59,-154.6115148984727,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.6,-154.6114227620849,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.61,-154.61132722130912,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.62,-154.61122846030887,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.63,-154.61112665644475,-154.59037872224192,AB
fit/QMC-kTinf,0.0,3.64,-154.61102198050108,-154.59037872224192,AB
