d,disregistry,energy,energy_inf,label,stacking
2.8,0.0,-154.56589306332683,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
2.81,0.0,-154.56808349686176,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
2.82,0.0,-154.57019035349742,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
2.83,0.0,-154.572216358686,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
2.84,0.0,-154.57416415414554,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
2.85,0.0,-154.57603630034765,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
2.86,0.0,-154.57783527893392,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
2.87,0.0,-154.57956349506173,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
2.88,0.0,-154.58122327968243,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
2.89,0.0,-154.58281689175325,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
2.9,0.0,-154.58434652038505,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
2.91,0.0,-154.58581428692756,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
2.92,0.0,-154.58722224699417,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
2.93,0.0,-154.58857239242764,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
2.94,0.0,-154.5898666532085,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
2.95,0.0,-154.59110689930802,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
2.96,0.0,-154.59229494248692,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
2.97,0.0,-154.59343253804175,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
2.98,0.0,-154.5945213865001,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
2.99,0.0,-154.59556313526625,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.0,0.0,-154.59655938021885,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.01,0.0,-154.59751166726159,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.02,0.0,-154.5984214938285,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.03,0.0,-154.59929031034534,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.04,0.0,-154.6001195216476,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.05,0.0,-154.60091048835736,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.06,0.0,-154.60166452821943,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.07,0.0,-154.60238291739822,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.08,0.0,-154.60306689173643,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.09,0.0,-154.60371764797685,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.1,0.0,-154.60433634494777,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.11,0.0,-154.60492410471383,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.12,0.0,-154.60548201369264,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.13,0.0,-154.60601112373848,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.14,0.0,-154.60651245319409,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.15,0.0,-154.60698698791109,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.16,0.0,-154.60743568224044,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.17,0.0,-154.60785945999345,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.18,0.0,-154.60825921537426,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.19,0.0,-154.60863581388477,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.2,0.0,-154.6089900932026,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.21,0.0,-154.60932286403306,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.22,0.0,-154.60963491093563,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.23,0.0,-154.6099269931261,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.24,0.0,-154.61019984525458,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.25,0.0,-154.61045417816055,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.26,0.0,-154.61069067960517,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.27,0.0,-154.61091001498193,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.28,0.0,-154.6111128280059,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.29,0.0,-154.61129974138274,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.3,0.0,-154.6114713574571,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.31,0.0,-154.61162825884236,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.32,0.0,-154.6117710090308,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.33,0.0,-154.61190015298598,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.34,0.0,-154.61201621771716,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.35,0.0,-154.61211971283652,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.36,0.0,-154.61221113109957,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.37,0.0,-154.61229094892946,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.38,0.0,-154.61235962692538,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.39,0.0,-154.61241761035578,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.4,0.0,-154.61246532963654,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.41,0.0,-154.612503200795,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.42,0.0,-154.6125316259198,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.43,0.0,-154.61255099359715,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.44,0.0,-154.61256167933402,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.45,0.0,-154.61256404596836,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.46,0.0,-154.6125584440671,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
3.47,0.0,-154.61254521231206,-154.5893000803827,fit-bootstrap/QMC-00-kT0.004,AB
