d,disregistry,energy,energy_inf,label,stacking
2.8,0.0,-154.56810025399668,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
2.81,0.0,-154.5702461426944,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
2.82,0.0,-154.57230698491307,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
2.83,0.0,-154.57428567438532,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
2.84,0.0,-154.5761850117487,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
2.85,0.0,-154.57800770745285,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
2.86,0.0,-154.57975638457822,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
2.87,0.0,-154.58143358156846,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
2.88,0.0,-154.58304175487902,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
2.89,0.0,-154.58458328154472,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
2.9,0.0,-154.58606046166878,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
2.91,0.0,-154.58747552083517,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
2.92,0.0,-154.5888306124473,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
2.93,0.0,-154.59012781999473,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
2.94,0.0,-154.59136915925006,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
2.95,0.0,-154.5925565803987,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
2.96,0.0,-154.5936919701028,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
2.97,0.0,-154.5947771535018,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
2.98,0.0,-154.59581389615127,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
2.99,0.0,-154.59680390590208,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.0,0.0,-154.59774883472164,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.01,0.0,-154.5986502804589,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.02,0.0,-154.59950978855494,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.03,0.0,-154.60032885370057,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.04,0.0,-154.60110892144283,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.05,0.0,-154.6018513897418,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.06,0.0,-154.6025576104792,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.07,0.0,-154.6032288909203,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.08,0.0,-154.60386649513043,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.09,0.0,-154.6044716453478,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.1,0.0,-154.60504552331346,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.11,0.0,-154.6055892715603,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.12,0.0,-154.60610399466168,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.13,0.0,-154.60659076044152,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.14,0.0,-154.6070506011466,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.15,0.0,-154.6074845145825,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.16,0.0,-154.60789346521406,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.17,0.0,-154.6082783852317,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.18,0.0,-154.60864017558438,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.19,0.0,-154.60897970698036,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.2,0.0,-154.6092978208568,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.21,0.0,-154.6095953303189,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.22,0.0,-154.60987302105008,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.23,0.0,-154.61013165219313,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.24,0.0,-154.6103719572044,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.25,0.0,-154.61059464468065,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.26,0.0,-154.61080039916055,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.27,0.0,-154.61098988190065,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.28,0.0,-154.61116373162727,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.29,0.0,-154.61132256526454,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.3,0.0,-154.6114669786398,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.31,0.0,-154.61159754716678,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.32,0.0,-154.6117148265071,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.33,0.0,-154.6118193532113,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.34,0.0,-154.61191164533932,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.35,0.0,-154.6119922030618,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.36,0.0,-154.61206150924193,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.37,0.0,-154.61212002999952,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.38,0.0,-154.61216821525676,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.39,0.0,-154.6122064992671,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.4,0.0,-154.61223530112707,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.41,0.0,-154.61225502527228,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.42,0.0,-154.6122660619573,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.43,0.0,-154.61226878772086,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.44,0.0,-154.6122635658356,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.45,0.0,-154.61225074674434,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.46,0.0,-154.61223066848183,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.47,0.0,-154.61220365708343,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.48,0.0,-154.61217002698086,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.49,0.0,-154.61213008138512,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.5,0.0,-154.61208411265724,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.51,0.0,-154.6120324026676,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.52,0.0,-154.61197522314316,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.53,0.0,-154.61191283600414,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.54,0.0,-154.6118454936897,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.55,0.0,-154.6117734394733,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.56,0.0,-154.61169690776782,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.57,0.0,-154.61161612442115,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.58,0.0,-154.6115313070021,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.59,0.0,-154.61144266507725,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.6,0.0,-154.61135040047893,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.61,0.0,-154.61125470756446,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.62,0.0,-154.6111557734673,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.63,0.0,-154.61105377833974,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.64,0.0,-154.61094889558834,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.65,0.0,-154.6108412921011,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.66,0.0,-154.61073112846796,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.67,0.0,-154.61061855919365,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.68,0.0,-154.61050373290408,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.69,0.0,-154.61038679254574,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.7,0.0,-154.61026787557878,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.71,0.0,-154.61014711416402,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.72,0.0,-154.61002463534345,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.73,0.0,-154.6099005612153,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.74,0.0,-154.6097750091033,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.75,0.0,-154.6096480917202,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.76,0.0,-154.60951991732642,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.77,0.0,-154.60939058988305,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.78,0.0,-154.60926020920027,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.79,0.0,-154.60912887108066,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.8,0.0,-154.60899666745794,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.81,0.0,-154.60886368653118,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.82,0.0,-154.6087300128945,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.83,0.0,-154.6085957276628,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
3.84,0.0,-154.60846090859292,-154.59040265976714,fit-bootstrap/QMC-17-kTinf,AB
