stacking,disregistry,label,d,energy,energy_err,method
AB,0.0,DFT-D2,3.0,-18.973967009282205,0,DFT-D2
AB,0.0,DFT-D2,3.2,-23.715618804300902,0,DFT-D2
AB,0.0,DFT-D2,3.21,-23.774905608501285,0,DFT-D2
AB,0.0,DFT-D2,3.22,-23.817967624636367,0,DFT-D2
AB,0.0,DFT-D2,3.23,-23.845757251168834,0,DFT-D2
AB,0.0,DFT-D2,3.24,-23.858308502298314,0,DFT-D2
AB,0.0,DFT-D2,3.25,-23.855043136165477,0,DFT-D2
AB,0.0,DFT-D2,3.26,-23.836743480031146,0,DFT-D2
AB,0.0,DFT-D2,3.27,-23.811538935027784,0,DFT-D2
AB,0.0,DFT-D2,3.28,-23.78851130080875,0,DFT-D2
AB,0.0,DFT-D2,3.29,-23.75980329007143,0,DFT-D2
AB,0.0,DFT-D2,3.3,-23.734700787783368,0,DFT-D2
AB,0.0,DFT-D2,3.31,-23.70429206546396,0,DFT-D2
AB,0.0,DFT-D2,3.32,-23.664019216259476,0,DFT-D2
AB,0.0,DFT-D2,3.33,-23.612215542816557,0,DFT-D2
AB,0.0,DFT-D2,3.34,-23.54922118750983,0,DFT-D2
AB,0.0,DFT-D2,3.35,-23.47615861982922,0,DFT-D2
AB,0.0,DFT-D2,3.36,-23.39306185411988,0,DFT-D2
AB,0.0,DFT-D2,3.37,-23.29901250608964,0,DFT-D2
AB,0.0,DFT-D2,3.38,-23.195983401150443,0,DFT-D2
AB,0.0,DFT-D2,3.39,-23.092954296211246,0,DFT-D2
AB,0.0,DFT-D2,3.4,-22.995775638963096,0,DFT-D2
AB,0.0,DFT-D2,3.41,-22.898120782454498,0,DFT-D2
AB,0.0,DFT-D2,3.42,-22.80750687175896,0,DFT-D2
AB,0.0,DFT-D2,3.43,-22.71410379410372,0,DFT-D2
AB,0.0,DFT-D2,3.44,-22.612129130313406,0,DFT-D2
AB,0.0,DFT-D2,3.45,-22.501820980018238,0,DFT-D2
AB,0.0,DFT-D2,3.46,-22.383961670449935,0,DFT-D2
AB,0.0,DFT-D2,3.47,-22.259503600129392,0,DFT-D2
