stacking,disregistry,label,d,energy,energy_err,method
AB,0.0,DFT-D3,3.0,-3.2419713425042573,0,DFT-D3
AB,0.0,DFT-D3,3.2,-14.65565055605839,0,DFT-D3
AB,0.0,DFT-D3,3.21,-15.000282742024865,0,DFT-D3
AB,0.0,DFT-D3,3.22,-15.323519976838725,0,DFT-D3
AB,0.0,DFT-D3,3.23,-15.626382687420119,0,DFT-D3
AB,0.0,DFT-D3,3.24,-15.908904888026882,0,DFT-D3
AB,0.0,DFT-D3,3.25,-16.171018550201552,0,DFT-D3
AB,0.0,DFT-D3,3.26,-16.4124855742848,0,DFT-D3
AB,0.0,DFT-D3,3.27,-16.641911560698645,0,DFT-D3
AB,0.0,DFT-D3,3.28,-16.86851436595316,0,DFT-D3
AB,0.0,DFT-D3,3.29,-17.084402688517002,0,DFT-D3
AB,0.0,DFT-D3,3.3,-17.298964456102112,0,DFT-D3
AB,0.0,DFT-D3,3.31,-17.503287940227892,0,DFT-D3
AB,0.0,DFT-D3,3.32,-17.692883262439864,0,DFT-D3
AB,0.0,DFT-D3,3.33,-17.866151753871236,0,DFT-D3
AB,0.0,DFT-D3,3.34,-18.023467571067158,0,DFT-D3
AB,0.0,DFT-D3,3.35,-18.166055226378376,0,DFT-D3
AB,0.0,DFT-D3,3.36,-18.293982748233248,0,DFT-D3
AB,0.0,DFT-D3,3.37,-18.40636576662655,0,DFT-D3
AB,0.0,DFT-D3,3.38,-18.50531316388515,0,DFT-D3
AB,0.0,DFT-D3,3.39,-18.59983871114673,0,DFT-D3
AB,0.0,DFT-D3,3.4,-18.695860884530703,0,DFT-D3
AB,0.0,DFT-D3,3.41,-18.787121065630345,0,DFT-D3
AB,0.0,DFT-D3,3.42,-18.881204427889315,0,DFT-D3
AB,0.0,DFT-D3,3.43,-18.96838290130836,0,DFT-D3
AB,0.0,DFT-D3,3.44,-19.042874066653894,0,DFT-D3
AB,0.0,DFT-D3,3.45,-19.10505208047107,0,DFT-D3
AB,0.0,DFT-D3,3.46,-19.15569927004981,0,DFT-D3
AB,0.0,DFT-D3,3.47,-19.19590409079683,0,DFT-D3
AB,0.0,DFT-D3,3.48,-19.224680130020715,0,DFT-D3
AB,0.0,DFT-D3,3.49,-19.242163444607286,0,DFT-D3
AB,0.0,DFT-D3,3.5,-19.25083707345766,0,DFT-D3
AB,0.0,DFT-D3,3.51,-19.262129798094975,0,DFT-D3
AB,0.0,DFT-D3,3.52,-19.27624570383341,0,DFT-D3
AB,0.0,DFT-D3,3.53,-19.290055481513264,0,DFT-D3
AB,0.0,DFT-D3,3.54,-19.30821908073267,0,DFT-D3
AB,0.0,DFT-D3,3.55,-19.31971589071327,0,DFT-D3
AB,0.0,DFT-D3,3.56,-19.321008431492373,0,DFT-D3
AB,0.0,DFT-D3,3.57,-19.312811001873342,0,DFT-D3
AB,0.0,DFT-D3,3.58,-19.296246071520727,0,DFT-D3
AB,0.0,DFT-D3,3.59,-19.271279626118485,0,DFT-D3
AB,0.0,DFT-D3,3.6,-19.237299409636762,0,DFT-D3
AB,0.0,DFT-D3,3.61,-19.19321696658153,0,DFT-D3
AB,0.0,DFT-D3,3.62,-19.14600521430839,0,DFT-D3
AB,0.0,DFT-D3,3.63,-19.105800393532263,0,DFT-D3
AB,0.0,DFT-D3,3.64,-19.066547971277032,0,DFT-D3
AB,0.0,DFT-D3,3.65,-19.032907897024415,0,DFT-D3
AB,0.0,DFT-D3,3.66,-19.002465160534484,0,DFT-D3
AB,0.0,DFT-D3,3.67,-18.965967890893808,0,DFT-D3
AB,0.0,DFT-D3,3.68,-18.920320793258725,0,DFT-D3
AB,0.0,DFT-D3,3.69,-18.868517119815806,0,DFT-D3
AB,0.0,DFT-D3,3.7,-18.808618059469154,0,DFT-D3
AB,0.0,DFT-D3,3.71,-18.74167805336765,0,DFT-D3
AB,0.0,DFT-D3,3.72,-18.66691477416316,0,DFT-D3
AB,0.0,DFT-D3,3.73,-18.5848724496027,0,DFT-D3
AB,0.0,DFT-D3,3.74,-18.50364646659,0,DFT-D3
AB,0.0,DFT-D3,3.75,-18.43071995585342,0,DFT-D3
AB,0.0,DFT-D3,3.76,-18.358881900523556,0,DFT-D3
AB,0.0,DFT-D3,3.77,-18.29575148821459,0,DFT-D3
AB,0.0,DFT-D3,3.78,-18.233505445969058,0,DFT-D3
AB,0.0,DFT-D3,3.79,-18.164490571740316,0,DFT-D3
AB,0.0,DFT-D3,3.8,-18.088332709128736,0,DFT-D3
AB,0.0,DFT-D3,4.0,-16.10594932679669,0,DFT-D3
AB,0.0,DFT-D3,4.5,-10.696598182112211,0,DFT-D3
AB,0.0,DFT-D3,5.0,-6.631489436753327,0,DFT-D3
AB,0.0,DFT-D3,6.0,-2.7347851477679797,0,DFT-D3
AB,0.0,DFT-D3,7.0,-1.5545593692513648,0,DFT-D3
SP,0.16667,DFT-D3,3.0,-0.30868612532503903,0,DFT-D3
SP,0.16667,DFT-D3,3.2,-13.18555550306337,0,DFT-D3
SP,0.16667,DFT-D3,3.21,-13.580086565518286,0,DFT-D3
SP,0.16667,DFT-D3,3.22,-13.953324719535885,0,DFT-D3
SP,0.16667,DFT-D3,3.23,-14.306120320863556,0,DFT-D3
SP,0.16667,DFT-D3,3.24,-14.639119639905402,0,DFT-D3
SP,0.16667,DFT-D3,3.25,-14.951778448972618,0,DFT-D3
SP,0.16667,DFT-D3,3.26,-15.246035559190204,0,DFT-D3
SP,0.16667,DFT-D3,3.27,-15.525258379406296,0,DFT-D3
SP,0.16667,DFT-D3,3.28,-15.794855172367534,0,DFT-D3
SP,0.16667,DFT-D3,3.29,-16.05176465716795,0,DFT-D3
SP,0.16667,DFT-D3,3.3,-16.29952431397396,0,DFT-D3
SP,0.16667,DFT-D3,3.31,-16.535753146541538,0,DFT-D3
SP,0.16667,DFT-D3,3.32,-16.7566075467912,0,DFT-D3
SP,0.16667,DFT-D3,3.33,-16.96150927283452,0,DFT-D3
SP,0.16667,DFT-D3,3.34,-17.151886922336416,0,DFT-D3
SP,0.16667,DFT-D3,3.35,-17.328148666070774,0,DFT-D3
SP,0.16667,DFT-D3,3.36,-17.490600632154383,0,DFT-D3
SP,0.16667,DFT-D3,3.37,-17.639685005531646,0,DFT-D3
SP,0.16667,DFT-D3,3.38,-17.77563988583279,0,DFT-D3
SP,0.16667,DFT-D3,3.39,-17.903873535775347,0,DFT-D3
SP,0.16667,DFT-D3,3.4,-18.02782139260671,0,DFT-D3
SP,0.16667,DFT-D3,3.41,-18.14391196219367,0,DFT-D3
SP,0.16667,DFT-D3,3.42,-18.25646505173063,0,DFT-D3
SP,0.16667,DFT-D3,3.43,-18.360582612018334,0,DFT-D3
SP,0.16667,DFT-D3,3.44,-18.453645547357155,0,DFT-D3
SP,0.16667,DFT-D3,3.45,-18.5360960427206,0,DFT-D3
SP,0.16667,DFT-D3,3.46,-18.608410297281807,0,DFT-D3
SP,0.16667,DFT-D3,3.47,-18.6708264107001,0,DFT-D3
SP,0.16667,DFT-D3,3.48,-18.723378397204215,0,DFT-D3
SP,0.16667,DFT-D3,3.49,-18.76630435642437,0,DFT-D3
SP,0.16667,DFT-D3,3.5,-18.801066900254227,0,DFT-D3
SP,0.16667,DFT-D3,3.51,-18.833618519071024,0,DFT-D3
SP,0.16667,DFT-D3,3.52,-18.863925198675133,0,DFT-D3
SP,0.16667,DFT-D3,3.53,-18.891170597518794,0,DFT-D3
SP,0.16667,DFT-D3,3.54,-18.917633669043425,0,DFT-D3
SP,0.16667,DFT-D3,3.55,-18.936919737869175,0,DFT-D3
SP,0.16667,DFT-D3,3.56,-18.949436974769924,0,DFT-D3
SP,0.16667,DFT-D3,3.57,-18.95358671093709,0,DFT-D3
SP,0.16667,DFT-D3,3.58,-18.95049141594791,0,DFT-D3
SP,0.16667,DFT-D3,3.59,-18.940423203632236,0,DFT-D3
SP,0.16667,DFT-D3,3.6,-18.923212002875516,0,DFT-D3
SP,0.16667,DFT-D3,3.61,-18.898857813648647,0,DFT-D3
SP,0.16667,DFT-D3,3.62,-18.870489945198642,0,DFT-D3
SP,0.16667,DFT-D3,3.63,-18.843006446782965,0,DFT-D3
SP,0.16667,DFT-D3,3.64,-18.814060336415423,0,DFT-D3
SP,0.16667,DFT-D3,3.65,-18.78613465296803,0,DFT-D3
SP,0.16667,DFT-D3,3.66,-18.75766474183183,0,DFT-D3
SP,0.16667,DFT-D3,3.67,-18.723854596435558,0,DFT-D3
SP,0.16667,DFT-D3,3.68,-18.683717804175103,0,DFT-D3
SP,0.16667,DFT-D3,3.69,-18.638036692282185,0,DFT-D3
SP,0.16667,DFT-D3,3.7,-18.586981331929564,0,DFT-D3
SP,0.16667,DFT-D3,3.71,-18.5306197515456,0,DFT-D3
SP,0.16667,DFT-D3,3.72,-18.468577794672456,0,DFT-D3
SP,0.16667,DFT-D3,3.73,-18.40146771739819,0,DFT-D3
SP,0.16667,DFT-D3,3.74,-18.333031085145194,0,DFT-D3
SP,0.16667,DFT-D3,3.75,-18.26762171939481,0,DFT-D3
SP,0.16667,DFT-D3,3.76,-18.2015320690698,0,DFT-D3
SP,0.16667,DFT-D3,3.77,-18.138435670989566,0,DFT-D3
SP,0.16667,DFT-D3,3.78,-18.075101173337316,0,DFT-D3
SP,0.16667,DFT-D3,3.79,-18.006766583770514,0,DFT-D3
SP,0.16667,DFT-D3,3.8,-17.933601973432815,0,DFT-D3
SP,0.16667,DFT-D3,4.0,-16.049621760641458,0,DFT-D3
SP,0.16667,DFT-D3,4.5,-10.690849777136464,0,DFT-D3
SP,0.16667,DFT-D3,5.0,-6.640299122518627,0,DFT-D3
SP,0.16667,DFT-D3,6.0,-2.753799102792982,0,DFT-D3
SP,0.16667,DFT-D3,7.0,-1.5689133746200241,0,DFT-D3
Mid,0.5,DFT-D3,3.0,5.879624917724868,0,DFT-D3
Mid,0.5,DFT-D3,3.2,-9.560148718563141,0,DFT-D3
Mid,0.5,DFT-D3,3.21,-10.064069547108375,0,DFT-D3
Mid,0.5,DFT-D3,3.22,-10.541901460674126,0,DFT-D3
Mid,0.5,DFT-D3,3.23,-10.99612749813241,0,DFT-D3
Mid,0.5,DFT-D3,3.24,-11.427257872885093,0,DFT-D3
Mid,0.5,DFT-D3,3.25,-11.83338778806501,0,DFT-D3
Mid,0.5,DFT-D3,3.26,-12.216932253999403,0,DFT-D3
Mid,0.5,DFT-D3,3.27,-12.583095448004315,0,DFT-D3
Mid,0.5,DFT-D3,3.28,-12.942081639339449,0,DFT-D3
Mid,0.5,DFT-D3,3.29,-13.28725805299473,0,DFT-D3
Mid,0.5,DFT-D3,3.3,-13.62566563472501,0,DFT-D3
Mid,0.5,DFT-D3,3.31,-13.953120634163497,0,DFT-D3
Mid,0.5,DFT-D3,3.32,-14.260983436659444,0,DFT-D3
Mid,0.5,DFT-D3,3.33,-14.547043117287103,0,DFT-D3
Mid,0.5,DFT-D3,3.34,-14.815347369440133,0,DFT-D3
Mid,0.5,DFT-D3,3.35,-15.066202321235323,0,DFT-D3
Mid,0.5,DFT-D3,3.36,-15.299267830327153,0,DFT-D3
Mid,0.5,DFT-D3,3.37,-15.514237768627936,0,DFT-D3
Mid,0.5,DFT-D3,3.38,-15.71247270546155,0,DFT-D3
Mid,0.5,DFT-D3,3.39,-15.903122468822403,0,DFT-D3
