stacking,disregistry,d,energy,energy_err,method
AB,0.0,3.0,-8.009766796196345,0.32840858961749997,QMC
AB,0.0,3.2,-18.417768545856234,0.27766899149200003,QMC
AB,0.0,3.35,-21.739892161247553,0.2642673144253,QMC
AB,0.0,3.5,-22.393036975176074,0.2820402544531,QMC
AB,0.0,3.65,-20.624462267180206,0.37390399658490003,QMC
AB,0.0,3.8,-18.381579076929484,0.23016355784429998,QMC
AB,0.0,4.0,-16.18655879975995,0.27804048347070004,QMC
AB,0.0,4.5,-9.620930934790522,0.2557938474963,QMC
AB,0.0,5.0,-5.770492335956078,0.2352767101463,QMC
AB,0.0,6.0,-2.954438524262514,0.2174740754617,QMC
AB,0.0,7.0,-2.036623646650696,0.2212227707233,QMC
SP,0.16667,3.0,-4.809323482884793,0.1449699432391,QMC
SP,0.16667,3.2,-17.579987082688604,0.1745750961273,QMC
SP,0.16667,3.35,-20.897428937081713,0.1467577380971,QMC
SP,0.16667,3.5,-21.879798165755346,0.16366168398390002,QMC
SP,0.16667,3.65,-20.830540764029138,0.19361766089319998,QMC
SP,0.16667,3.8,-18.608315832243534,0.2624834992686,QMC
SP,0.16667,4.0,-15.68837305525085,0.1524851598764,QMC
SP,0.16667,4.5,-9.595545964926714,0.19675091359330002,QMC
SP,0.16667,5.0,-5.414549911569338,0.18119208528810002,QMC
SP,0.16667,6.0,-2.660152675147401,0.1709368566696,QMC
SP,0.16667,7.0,-1.5907483946648426,0.15226179678319998,QMC
Mid,0.5,3.0,3.391700238804333,0.2839309666854,QMC
Mid,0.5,3.2,-12.573548456828576,0.2119590097386,QMC
Mid,0.5,3.35,-17.529887470591348,0.2741314913113,QMC
Mid,0.5,3.5,-19.27840530948015,0.2712241272906,QMC
Mid,0.5,3.65,-19.62055424769642,0.27408868246269996,QMC
Mid,0.5,3.8,-18.00019524586969,0.216771877163,QMC
Mid,0.5,4.0,-15.596796647121664,0.2292337966626,QMC
Mid,0.5,4.5,-9.346078106580535,0.2388315661657,QMC
Mid,0.5,5.0,-5.697195846092654,0.33187456505880003,QMC
Mid,0.5,6.0,-2.7155468987184577,0.20563647212970002,QMC
Mid,0.5,7.0,-1.8769317115365993,0.2147588216028,QMC
AA,0.66667,3.0,20.213302476418903,0.20291739523340002,QMC
AA,0.66667,3.2,-4.057542066206224,0.40647329311040004,QMC
AA,0.66667,3.35,-13.031509187538177,0.2437113138212,QMC
AA,0.66667,3.5,-16.62279557826696,0.2878172604445,QMC
AA,0.66667,3.65,-17.843150182510726,0.3042091211104,QMC
AA,0.66667,3.8,-16.69348658641684,0.2249770584902,QMC
AA,0.66667,4.0,-14.96176328608999,0.37086559148000003,QMC
AA,0.66667,4.5,-9.719293633184861,0.2508774695371,QMC
AA,0.66667,5.0,-5.5526234438002575,0.2775729330302,QMC
AA,0.66667,6.0,-2.8911363487131894,0.2369961091182,QMC
AA,0.66667,7.0,-1.371618490491528,0.31879963305500003,QMC
