method,kT,stacking,disregistry,d,energy,energy_inf
KC-DFT-D2,5.0,AB,0.0,2.8,-2.799837196012959,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,2.81,-4.056239481433295,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,2.82,-5.254947619483573,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,2.83,-6.398068045207765,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,2.84,-7.487635575205786,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,2.85,-8.525615765771363,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,2.86,-9.513907194253989,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,2.87,-10.45434366754489,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,2.88,-11.348696358443704,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,2.89,-12.198675873572938,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,2.9,-13.00593425380066,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,2.91,-13.772066909994464,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,2.92,-14.498614496726077,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,2.93,-15.187064724392258,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,2.94,-15.838854112953413,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,2.95,-16.455369689065265,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,2.96,-17.037950627563987,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,2.97,-17.587889839924173,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,2.98,-18.106435511261225,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,2.99,-18.59479258718784,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.0,-19.05412421215442,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.01,-19.485553121368866,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.02,-19.890162987139774,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.03,-20.268999721185537,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.04,-20.623072735237656,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.05,-20.953356159472605,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.06,-21.260790022090077,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.07,-21.54628138995031,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.08,-21.810705471929396,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.09,-22.05490668633138,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.1,-22.27969969381229,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.11,-22.485870395350503,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.12,-22.674176899017766,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.13,-22.84535045400844,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.14,-23.000096354284324,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.15,-23.13909481302835,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.16,-23.26300180796534,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.17,-23.372449899063213,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.18,-23.46804901951691,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.19,-23.5503872402478,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.2,-23.62003151018871,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.21,-23.677528371161316,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.22,-23.72340464993613,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.23,-23.758168127242243,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.24,-23.782308184861904,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.25,-23.796296430868097,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.26,-23.800587305275258,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.27,-23.795618664560607,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.28,-23.781812347471714,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.29,-23.759574722207617,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.3,-23.729297215060797,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.31,-23.69135682200431,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.32,-23.646116603165865,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.33,-23.59392616059631,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.34,-23.53512210090412,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.35,-23.47002848176635,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.36,-23.398957244149642,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.37,-23.32220862992108,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.38,-23.240071585576516,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.39,-23.152824152784888,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.4,-23.060733845399227,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.41,-22.964058014564216,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.42,-22.863044201018056,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.43,-22.757930476189358,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.44,-22.648945771419676,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.45,-22.536310196563136,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.46,-22.420235347701237,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.47,-22.300924604700413,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.48,-22.178573418495944,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.49,-22.05336958935368,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.5,-21.925493535061833,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.51,-21.795118550711777,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.52,-21.66241105934023,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.53,-21.527530854509678,-154.89072881434413
KC-DFT-D2,5.0,AB,0.0,3.54,-21.390631334332284,-154.89072881434413
