method,kT,stacking,disregistry,d,energy,energy_inf
KC-DFT-D3,inf,AB,0.0,2.8,23.298383000917966,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,2.81,21.54139542055782,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,2.82,19.84266360991751,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,2.83,18.20055796977249,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,2.84,16.613490900810575,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,2.85,15.079915792797692,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,2.86,13.598326035862556,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,2.87,12.167254053376382,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,2.88,10.785270357184345,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,2.89,9.450982622394804,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,2.9,8.163034783996409,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,2.91,6.920106153149391,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,2.92,5.720910553209251,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,2.93,4.564195475773886,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,2.94,3.448741254862398,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,2.95,2.373360260738991,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,2.96,1.3368961115193088,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,2.97,0.33822290299576707,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,2.98,-0.6237555443367455,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,2.99,-1.5501064204145223,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.0,-2.4418686440913007,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.01,-3.3000535655301064,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.02,-4.125645651394734,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.03,-4.919603155110963,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.04,-5.682858770800522,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.05,-6.4163202728377655,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.06,-7.1208711394283455,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.07,-7.797371162392665,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.08,-8.446657042572042,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.09,-9.06954297068296,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.1,-9.666821195249213,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.11,-10.239262576360488,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.12,-10.787617126858095,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.13,-11.312614540656796,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.14,-11.814964708173648,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.15,-12.295358219591435,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.16,-12.754466856538784,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.17,-13.19294407122652,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.18,-13.611425454815617,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.19,-14.010529194114497,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.2,-14.390856517478824,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.21,-14.752992129739141,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.22,-15.0975046371168,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.23,-15.424946961196838,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.24,-15.735856743092882,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.25,-16.030756738357013,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.26,-16.310155201295856,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.27,-16.57454626073013,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.28,-16.824410286266357,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.29,-17.06021424519713,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.3,-17.282412051747087,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.31,-17.491444906423567,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.32,-17.68774162812042,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.33,-17.871718977199635,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.34,-18.0437819713552,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.35,-18.204324192978675,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.36,-18.353728089423385,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.37,-18.492365265556145,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.38,-18.620596769062104,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.39,-18.738773368968396,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.4,-18.84723582660081,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.41,-18.946315160341328,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.42,-19.036332903662696,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.43,-19.1176013564982,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.44,-19.190423830325017,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.45,-19.25509488742682,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.46,-19.311900573928142,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.47,-19.36111864654231,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.48,-19.40301879463368,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.49,-19.43786285526585,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.5,-19.46590502449544,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.51,-19.487392061622813,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.52,-19.5025634894846,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.53,-19.511651789100142,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.54,-19.51488258939935,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.55,-19.51247485243948,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.56,-19.504641053412342,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.57,-19.491587356489617,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.58,-19.473513785836985,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.59,-19.450614392466377,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.6,-19.423077416897286,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.61,-19.391085447219666,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.62,-19.354815573460655,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.63,-19.31443953802227,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.64,-19.270123881753534,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.65,-19.22203008690849,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.66,-19.170314715913264,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.67,-19.115129546786193,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.68,-19.05662170489086,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.69,-18.99493379148771,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.7,-18.930204008618603,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.71,-18.86256628096453,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.72,-18.792150374763878,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.73,-18.71908201291808,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.74,-18.643482987885363,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.75,-18.56547127099475,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.76,-18.485161119373515,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.77,-18.402663179673254,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.78,-18.318084589380305,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.79,-18.231529075244907,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.8,-18.143097049265634,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.81,-18.052885702054482,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.82,-17.960989093757235,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.83,-17.867498242558213,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.84,-17.772501210827613,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.85,-17.676083189231576,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.86,-17.578326578077395,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.87,-17.4793110669998,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.88,-17.379113712115213,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.89,-17.277809011895442,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.9,-17.175468979752623,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.91,-17.072163215780165,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.92,-16.967958976136288,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.93,-16.862921240681317,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.94,-16.757112778461305,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.95,-16.650594212085707,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.96,-16.54342407968943,-154.8696519700625
KC-DFT-D3,inf,AB,0.0,3.97,-16.435658895643428,-154.8696519700625
