method,kT,stacking,disregistry,d,energy,energy_inf
KC-QMC,4.0,AB,0.0,2.8,24.333706125849858,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.81,22.066846547357272,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.82,19.88815551326843,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.83,17.794688892754493,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.84,15.783595476706978,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.85,13.852114131907001,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.86,11.99757104049786,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.87,10.21737702153041,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.88,8.509024933999171,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.89,6.870087156421505,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.9,5.298213143629255,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.91,3.7911270559416153,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.92,2.3466254599334206,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.93,0.9625750986742787,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.94,-0.36308927118079737,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.95,-1.632366977079073,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.96,-2.847193464753218,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.97,-4.0094422715192195,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.98,-5.120926939358469,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.99,-6.183402870839927,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.0,-7.198569128522649,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.01,-8.168070179992355,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.02,-9.093497590249171,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.03,-9.976391662785318,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.04,-10.81824303077883,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.05,-11.62049420006224,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.06,-12.384541045874357,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.07,-13.11173426284222,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.08,-13.803380772587843,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.09,-14.460745087097166,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.1,-15.085050631634658,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.11,-15.67748102673795,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.12,-16.239181331562577,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.13,-16.77125924930442,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.14,-17.27478629554389,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.15,-17.75079893146176,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.16,-18.200299661955796,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.17,-18.624258100695442,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.18,-19.023612002114533,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.19,-19.39926826240844,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.2,-19.75210388947744,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.21,-20.082966943096835,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.22,-20.392677446856396,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.23,-20.682028271607123,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.24,-20.951785991812358,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.25,-21.202691716025583,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.26,-21.43546189161134,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.27,-21.650789084320422,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.28,-21.84934273478575,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.29,-22.0317698912404,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.3,-22.198695919214515,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.31,-22.350725190219237,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.32,-22.48844174880651,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.33,-22.612409958790522,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.34,-22.723175130202435,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.35,-22.821264125959715,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.36,-22.90718595063663,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.37,-22.981432320579188,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.38,-23.04447821623762,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.39,-23.096782418055227,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.4,-23.138788024836686,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.41,-23.170922956691356,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.42,-23.193600442289608,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.43,-23.207219490606803,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.44,-23.21216534852283,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.45,-23.208809943811502,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.46,-23.197512314334745,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.47,-23.1786190244311,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.48,-23.152464567305287,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.49,-23.119371755921748,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.5,-23.07965210097609,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.51,-23.033606177486945,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.52,-22.981523979629856,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.53,-22.923685264686355,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.54,-22.8603598861082,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.55,-22.79180811601691,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.56,-22.71828095812816,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.57,-22.640020450227894,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.58,-22.557259957306087,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.59,-22.470224455959396,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.6,-22.379130808985792,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.61,-22.284188032295788,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.62,-22.185597552655963,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.63,-22.083553457719972,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.64,-21.97824273785227,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.65,-21.869845520879608,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.66,-21.75853529878077,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.67,-21.644479147478705,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.68,-21.527837939967867,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.69,-21.40876655196189,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.7,-21.28741406192421,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.71,-21.163923943968257,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.72,-21.0384342551406,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.73,-20.911077816417674,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.74,-20.781982388347387,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.75,-20.651270840491634,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.76,-20.51906131609576,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.77,-20.385467391228303,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.78,-20.250598228594754,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.79,-20.114558727043914,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.8,-19.977449665544555,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.81,-19.839367843262153,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.82,-19.700406214571558,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.83,-19.56065402031527,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.84,-19.420196914143162,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.85,-19.27911708538886,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.86,-19.137493377696956,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.87,-18.995401404012227,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.88,-18.852913657494355,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.89,-18.710099619376706,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.9,-18.56702586307074,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.91,-18.42375615471974,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.92,-18.280351550667547,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.93,-18.136870492046,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.94,-17.99336889575352,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.95,-17.84990024298895,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.96,-17.706515664380277,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.97,-17.56326402290142,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.98,-17.420191993616754,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.99,-17.27734414121369,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.0,-17.134762994479388,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.01,-16.99248911908944,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.02,-16.85056118731154,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.03,-16.709016045671888,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.04,-16.567888780671638,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.05,-16.427212781622075,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.06,-16.287019802693976,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.07,-16.147340021154378,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.08,-16.008202095283195,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.09,-15.869633219583193,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.1,-15.731659178127302,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.11,-15.594304396567168,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.12,-15.457591991929803,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.13,-15.321543821133673,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.14,-15.186180527758552,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.15,-15.051521587185562,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.16,-14.917585350136505,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.17,-14.78438908525277,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.18,-14.651949019549647,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.19,-14.520280378084863,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.2,-14.389397421997273,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.21,-14.259313485352322,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.22,-14.130041010503192,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.23,-14.00159158295719,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.24,-13.873975964146666,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.25,-13.747204123676056,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.26,-13.621285270375665,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.27,-13.49622788222041,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.28,-13.372039735200815,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.29,-13.2487279313209,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.3,-13.126298925431911,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.31,-13.004758551571285,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.32,-12.884112047846429,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.33,-12.764364080852829,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.34,-12.645518769015325,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.35,-12.527579705463722,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.36,-12.410549979569623,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.37,-12.29443219822133,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.38,-12.179228506283835,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.39,-12.064940606069285,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.4,-11.95156977622537,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.41,-11.839116890361765,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.42,-11.72758243442513,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.43,-11.616966523695737,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.44,-11.50726891940576,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.45,-11.39848904448445,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.46,-11.290625998924952,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.47,-11.18367857436533,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.48,-11.077645268320339,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.49,-10.972524298151257,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.5,-10.86831361381337,-154.5893676485416
KC-QMC,4.0,AB,0.0,4.51,-10.7650109109818,-154.5893676485416
