method,kT,stacking,disregistry,d,energy,energy_inf
KC-QMC,4.0,AB,0.0,2.8,47.54587147437269,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.81,45.2790118958801,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.82,43.10032086179126,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.83,41.006854241277324,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.84,38.99576082522981,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.85,37.06427948042983,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.86,35.20973638902069,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.87,33.42954237005324,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.88,31.721190282522002,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.89,30.082252504944336,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.9,28.510378492152086,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.91,27.003292404464446,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.92,25.55879080845625,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.93,24.17474044719711,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.94,22.849076077342033,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.95,21.579798371443758,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.96,20.364971883769613,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.97,19.20272307700361,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.98,18.09123840916436,-154.5893676485416
KC-QMC,4.0,AB,0.0,2.99,17.028762477682903,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.0,16.01359622000018,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.01,15.044095168530475,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.02,14.11866775827366,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.03,13.235773685737513,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.04,12.393922317744,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.05,11.591671148460591,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.06,10.827624302648474,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.07,10.100431085680611,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.08,9.408784575934988,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.09,8.751420261425665,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.1,8.127114716888173,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.11,7.53468432178488,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.12,6.972984016960254,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.13,6.4409060992184095,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.14,5.93737905297894,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.15,5.461366417061072,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.16,5.011865686567035,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.17,4.587907247827388,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.18,4.188553346408298,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.19,3.81289708611439,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.2,3.4600614590453915,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.21,3.1291984054259956,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.22,2.8194879016664345,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.23,2.5301370769157074,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.24,2.260379356710473,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.25,2.0094736324972473,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.26,1.7767034569114912,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.27,1.5613762642024085,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.28,1.3628226137370802,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.29,1.1803954572824296,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.3,1.0134694293083157,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.31,0.8614401583035942,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.32,0.7237235997163225,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.33,0.5997553897323087,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.34,0.4889902183203958,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.35,0.3909012225631159,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.36,0.3049793978861999,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.37,0.2307330279436428,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.38,0.16768713228520937,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.39,0.11538293046760373,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.4,0.07337732368614525,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.41,0.04124239183147438,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.42,0.018564906233223155,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.43,0.0049458579160273075,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.44,0.0,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.45,0.003355404711328447,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.46,0.014653034188086167,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.47,0.03354632409173064,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.48,0.05970078121754341,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.49,0.09279359260108322,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.5,0.13251324754673988,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.51,0.1785591710358858,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.52,0.23064136889297515,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.53,0.2884800838364754,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.54,0.3518054624146316,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.55,0.4203572325059213,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.56,0.493884390394669,-154.5893676485416
KC-QMC,4.0,AB,0.0,3.57,0.5721448982949369,-154.5893676485416
