method,kT,stacking,disregistry,d,energy,energy_inf
KC-QMC,inf,AB,0.0,2.8,21.081984569435008,-154.5903787222419
KC-QMC,inf,AB,0.0,2.81,18.996771698613884,-154.5903787222419
KC-QMC,inf,AB,0.0,2.82,16.993714462732896,-154.5903787222419
KC-QMC,inf,AB,0.0,2.83,15.070043216488557,-154.5903787222419
KC-QMC,inf,AB,0.0,2.84,13.223076477530412,-154.5903787222419
KC-QMC,inf,AB,0.0,2.85,11.450218205340207,-154.5903787222419
KC-QMC,inf,AB,0.0,2.86,9.748955161077902,-154.5903787222419
KC-QMC,inf,AB,0.0,2.87,8.116854347637855,-154.5903787222419
KC-QMC,inf,AB,0.0,2.88,6.5515605276450515,-154.5903787222419
KC-QMC,inf,AB,0.0,2.89,5.0507938156079035,-154.5903787222419
KC-QMC,inf,AB,0.0,2.9,3.612347343500005,-154.5903787222419
KC-QMC,inf,AB,0.0,2.91,2.234084997267928,-154.5903787222419
KC-QMC,inf,AB,0.0,2.92,0.9139392211800441,-154.5903787222419
KC-QMC,inf,AB,0.0,2.93,-0.35009111056569964,-154.5903787222419
KC-QMC,inf,AB,0.0,2.94,-1.5599427579145413,-154.5903787222419
KC-QMC,inf,AB,0.0,2.95,-2.7174901161633898,-154.5903787222419
KC-QMC,inf,AB,0.0,2.96,-3.8245471567788627,-154.5903787222419
KC-QMC,inf,AB,0.0,2.97,-4.882869308697991,-154.5903787222419
KC-QMC,inf,AB,0.0,2.98,-5.894155282789143,-154.5903787222419
KC-QMC,inf,AB,0.0,2.99,-6.8600488403462805,-154.5903787222419
KC-QMC,inf,AB,0.0,3.0,-7.782140508410521,-154.5903787222419
KC-QMC,inf,AB,0.0,3.01,-8.66196924171527,-154.5903787222419
KC-QMC,inf,AB,0.0,3.02,-9.501024035474984,-154.5903787222419
KC-QMC,inf,AB,0.0,3.03,-10.300745487067616,-154.5903787222419
KC-QMC,inf,AB,0.0,3.04,-11.062527311907616,-154.5903787222419
KC-QMC,inf,AB,0.0,3.05,-11.787717811501352,-154.5903787222419
KC-QMC,inf,AB,0.0,3.06,-12.47762129761395,-154.5903787222419
KC-QMC,inf,AB,0.0,3.07,-13.133499472169206,-154.5903787222419
KC-QMC,inf,AB,0.0,3.08,-13.756572765589226,-154.5903787222419
KC-QMC,inf,AB,0.0,3.09,-14.348021633370081,-154.5903787222419
KC-QMC,inf,AB,0.0,3.1,-14.908987813454587,-154.5903787222419
KC-QMC,inf,AB,0.0,3.11,-15.44057554504252,-154.5903787222419
KC-QMC,inf,AB,0.0,3.12,-15.943852749565849,-154.5903787222419
KC-QMC,inf,AB,0.0,3.13,-16.419852175808046,-154.5903787222419
KC-QMC,inf,AB,0.0,3.14,-16.869572509691352,-154.5903787222419
KC-QMC,inf,AB,0.0,3.15,-17.29397944995435,-154.5903787222419
KC-QMC,inf,AB,0.0,3.16,-17.694006750331027,-154.5903787222419
KC-QMC,inf,AB,0.0,3.17,-18.07055723090889,-154.5903787222419
KC-QMC,inf,AB,0.0,3.18,-18.424503756396007,-154.5903787222419
KC-QMC,inf,AB,0.0,3.19,-18.756690185924526,-154.5903787222419
KC-QMC,inf,AB,0.0,3.2,-19.067932292760815,-154.5903787222419
KC-QMC,inf,AB,0.0,3.21,-19.359018655784894,-154.5903787222419
KC-QMC,inf,AB,0.0,3.22,-19.63071152320481,-154.5903787222419
KC-QMC,inf,AB,0.0,3.23,-19.88374764996115,-154.5903787222419
KC-QMC,inf,AB,0.0,3.24,-20.118839109229157,-154.5903787222419
KC-QMC,inf,AB,0.0,3.25,-20.336674078338547,-154.5903787222419
KC-QMC,inf,AB,0.0,3.26,-20.537917600711808,-154.5903787222419
KC-QMC,inf,AB,0.0,3.27,-20.723212324286578,-154.5903787222419
KC-QMC,inf,AB,0.0,3.28,-20.89317921671318,-154.5903787222419
KC-QMC,inf,AB,0.0,3.29,-21.048418258607853,-154.5903787222419
KC-QMC,inf,AB,0.0,3.3,-21.18950911524007,-154.5903787222419
KC-QMC,inf,AB,0.0,3.31,-21.31701178723597,-154.5903787222419
KC-QMC,inf,AB,0.0,3.32,-21.431467241200153,-154.5903787222419
KC-QMC,inf,AB,0.0,3.33,-21.533398020488676,-154.5903787222419
KC-QMC,inf,AB,0.0,3.34,-21.62330883726827,-154.5903787222419
KC-QMC,inf,AB,0.0,3.35,-21.70168714626925,-154.5903787222419
KC-QMC,inf,AB,0.0,3.36,-21.769003699562745,-154.5903787222419
KC-QMC,inf,AB,0.0,3.37,-21.825713085680036,-154.5903787222419
KC-QMC,inf,AB,0.0,3.38,-21.872254250600236,-154.5903787222419
KC-QMC,inf,AB,0.0,3.39,-21.909051002992783,-154.5903787222419
KC-QMC,inf,AB,0.0,3.4,-21.936512503714766,-154.5903787222419
KC-QMC,inf,AB,0.0,3.41,-21.95503373959218,-154.5903787222419
KC-QMC,inf,AB,0.0,3.42,-21.964995983085828,-154.5903787222419
KC-QMC,inf,AB,0.0,3.43,-21.9667672367068,-154.5903787222419
KC-QMC,inf,AB,0.0,3.44,-21.960702664073324,-154.5903787222419
KC-QMC,inf,AB,0.0,3.45,-21.947145007376093,-154.5903787222419
KC-QMC,inf,AB,0.0,3.46,-21.926424991426757,-154.5903787222419
KC-QMC,inf,AB,0.0,3.47,-21.89886171548278,-154.5903787222419
KC-QMC,inf,AB,0.0,3.48,-21.86476303220843,-154.5903787222419
KC-QMC,inf,AB,0.0,3.49,-21.824425915285246,-154.5903787222419
KC-QMC,inf,AB,0.0,3.5,-21.778136814915342,-154.5903787222419
KC-QMC,inf,AB,0.0,3.51,-21.72617200264358,-154.5903787222419
KC-QMC,inf,AB,0.0,3.52,-21.66879790465464,-154.5903787222419
KC-QMC,inf,AB,0.0,3.53,-21.606271425291197,-154.5903787222419
KC-QMC,inf,AB,0.0,3.54,-21.5388402598619,-154.5903787222419
KC-QMC,inf,AB,0.0,3.55,-21.46674319752492,-154.5903787222419
KC-QMC,inf,AB,0.0,3.56,-21.390210415091133,-154.5903787222419
KC-QMC,inf,AB,0.0,3.57,-21.309463760844665,-154.5903787222419
KC-QMC,inf,AB,0.0,3.58,-21.224717029952444,-154.5903787222419
KC-QMC,inf,AB,0.0,3.59,-21.13617623076425,-154.5903787222419
KC-QMC,inf,AB,0.0,3.6,-21.044039843021892,-154.5903787222419
KC-QMC,inf,AB,0.0,3.61,-20.948499067220837,-154.5903787222419
KC-QMC,inf,AB,0.0,3.62,-20.8497380669869,-154.5903787222419
KC-QMC,inf,AB,0.0,3.63,-20.747934202838223,-154.5903787222419
KC-QMC,inf,AB,0.0,3.64,-20.643258259195136,-154.5903787222419
KC-QMC,inf,AB,0.0,3.65,-20.535874663532013,-154.5903787222419
KC-QMC,inf,AB,0.0,3.66,-20.42594169921358,-154.5903787222419
KC-QMC,inf,AB,0.0,3.67,-20.31361171079334,-154.5903787222419
KC-QMC,inf,AB,0.0,3.68,-20.199031303607626,-154.5903787222419
KC-QMC,inf,AB,0.0,3.69,-20.082341536151944,-154.5903787222419
KC-QMC,inf,AB,0.0,3.7,-19.963678106782027,-154.5903787222419
KC-QMC,inf,AB,0.0,3.71,-19.84317153453594,-154.5903787222419
KC-QMC,inf,AB,0.0,3.72,-19.720947333611548,-154.5903787222419
KC-QMC,inf,AB,0.0,3.73,-19.597126182779903,-154.5903787222419
KC-QMC,inf,AB,0.0,3.74,-19.471824089210713,-154.5903787222419
KC-QMC,inf,AB,0.0,3.75,-19.345152546826284,-154.5903787222419
KC-QMC,inf,AB,0.0,3.76,-19.217218689853325,-154.5903787222419
KC-QMC,inf,AB,0.0,3.77,-19.088125441165175,-154.5903787222419
KC-QMC,inf,AB,0.0,3.78,-18.957971656142035,-154.5903787222419
KC-QMC,inf,AB,0.0,3.79,-18.82685226155445,-154.5903787222419
KC-QMC,inf,AB,0.0,3.8,-18.694858390139416,-154.5903787222419
KC-QMC,inf,AB,0.0,3.81,-18.562077510898234,-154.5903787222419
KC-QMC,inf,AB,0.0,3.82,-18.428593554970575,-154.5903787222419
KC-QMC,inf,AB,0.0,3.83,-18.294487037637737,-154.5903787222419
KC-QMC,inf,AB,0.0,3.84,-18.15983517622226,-154.5903787222419
KC-QMC,inf,AB,0.0,3.85,-18.02471200429136,-154.5903787222419
KC-QMC,inf,AB,0.0,3.86,-17.88918848184403,-154.5903787222419
KC-QMC,inf,AB,0.0,3.87,-17.753332602471346,-154.5903787222419
KC-QMC,inf,AB,0.0,3.88,-17.617209496325813,-154.5903787222419
KC-QMC,inf,AB,0.0,3.89,-17.48088153047138,-154.5903787222419
KC-QMC,inf,AB,0.0,3.9,-17.34440840521711,-154.5903787222419
KC-QMC,inf,AB,0.0,3.91,-17.20784724803525,-154.5903787222419
KC-QMC,inf,AB,0.0,3.92,-17.07125270369579,-154.5903787222419
KC-QMC,inf,AB,0.0,3.93,-16.934677022101823,-154.5903787222419
KC-QMC,inf,AB,0.0,3.94,-16.798170142661547,-154.5903787222419
KC-QMC,inf,AB,0.0,3.95,-16.66177977627376,-154.5903787222419
KC-QMC,inf,AB,0.0,3.96,-16.525551484752214,-154.5903787222419
KC-QMC,inf,AB,0.0,3.97,-16.38952875690302,-154.5903787222419
KC-QMC,inf,AB,0.0,3.98,-16.253753082972253,-154.5903787222419
KC-QMC,inf,AB,0.0,3.99,-16.11826402618317,-154.5903787222419
KC-QMC,inf,AB,0.0,4.0,-15.983099291770486,-154.5903787222419
KC-QMC,inf,AB,0.0,4.01,-15.84829479426844,-154.5903787222419
KC-QMC,inf,AB,0.0,4.02,-15.713884721888462,-154.5903787222419
KC-QMC,inf,AB,0.0,4.03,-15.579901599412551,-154.5903787222419
KC-QMC,inf,AB,0.0,4.04,-15.446376348496415,-154.5903787222419
KC-QMC,inf,AB,0.0,4.05,-15.313338346255478,-154.5903787222419
KC-QMC,inf,AB,0.0,4.06,-15.180815481871832,-154.5903787222419
KC-QMC,inf,AB,0.0,4.07,-15.048834210989298,-154.5903787222419
KC-QMC,inf,AB,0.0,4.08,-14.917419608973432,-154.5903787222419
KC-QMC,inf,AB,0.0,4.09,-14.7865954216104,-154.5903787222419
KC-QMC,inf,AB,0.0,4.1,-14.656384114583489,-154.5903787222419
KC-QMC,inf,AB,0.0,4.11,-14.526806921319803,-154.5903787222419
KC-QMC,inf,AB,0.0,4.12,-14.397883888945216,-154.5903787222419
KC-QMC,inf,AB,0.0,4.13,-14.26963392275502,-154.5903787222419
KC-QMC,inf,AB,0.0,4.14,-14.142074829491321,-154.5903787222419
KC-QMC,inf,AB,0.0,4.15,-14.015223358612275,-154.5903787222419
KC-QMC,inf,AB,0.0,4.16,-13.889095242950134,-154.5903787222419
KC-QMC,inf,AB,0.0,4.17,-13.763705237186514,-154.5903787222419
KC-QMC,inf,AB,0.0,4.18,-13.639067155279918,-154.5903787222419
KC-QMC,inf,AB,0.0,4.19,-13.51519390710746,-154.5903787222419
KC-QMC,inf,AB,0.0,4.2,-13.392097533127526,-154.5903787222419
KC-QMC,inf,AB,0.0,4.21,-13.269789238256635,-154.5903787222419
KC-QMC,inf,AB,0.0,4.22,-13.148279424611246,-154.5903787222419
KC-QMC,inf,AB,0.0,4.23,-13.027577722998103,-154.5903787222419
KC-QMC,inf,AB,0.0,4.24,-12.907693023385946,-154.5903787222419
KC-QMC,inf,AB,0.0,4.25,-12.788633504213067,-154.5903787222419
KC-QMC,inf,AB,0.0,4.26,-12.670406661025481,-154.5903787222419
KC-QMC,inf,AB,0.0,4.27,-12.553019333572593,-154.5903787222419
KC-QMC,inf,AB,0.0,4.28,-12.436477732553612,-154.5903787222419
KC-QMC,inf,AB,0.0,4.29,-12.320787464996101,-154.5903787222419
KC-QMC,inf,AB,0.0,4.3,-12.205953559139743,-154.5903787222419
KC-QMC,inf,AB,0.0,4.31,-12.091980487923138,-154.5903787222419
KC-QMC,inf,AB,0.0,4.32,-11.978872192179551,-154.5903787222419
KC-QMC,inf,AB,0.0,4.33,-11.866632102872245,-154.5903787222419
KC-QMC,inf,AB,0.0,4.34,-11.75526316234027,-154.5903787222419
KC-QMC,inf,AB,0.0,4.35,-11.6447678450495,-154.5903787222419
KC-QMC,inf,AB,0.0,4.36,-11.53514817749965,-154.5903787222419
KC-QMC,inf,AB,0.0,4.37,-11.426405757345492,-154.5903787222419
KC-QMC,inf,AB,0.0,4.38,-11.318541772081517,-154.5903787222419
KC-QMC,inf,AB,0.0,4.39,-11.21155701688258,-154.5903787222419
KC-QMC,inf,AB,0.0,4.4,-11.105451911891578,-154.5903787222419
KC-QMC,inf,AB,0.0,4.41,-11.000226518808631,-154.5903787222419
KC-QMC,inf,AB,0.0,4.42,-10.895880556869088,-154.5903787222419
KC-QMC,inf,AB,0.0,4.43,-10.792413418501383,-154.5903787222419
KC-QMC,inf,AB,0.0,4.44,-10.689824184024474,-154.5903787222419
KC-QMC,inf,AB,0.0,4.45,-10.588111636170652,-154.5903787222419
KC-QMC,inf,AB,0.0,4.46,-10.48727427405538,-154.5903787222419
KC-QMC,inf,AB,0.0,4.47,-10.387310326186707,-154.5903787222419
KC-QMC,inf,AB,0.0,4.48,-10.288217763707507,-154.5903787222419
KC-QMC,inf,AB,0.0,4.49,-10.189994312589988,-154.5903787222419
KC-QMC,inf,AB,0.0,4.5,-10.092637465597363,-154.5903787222419
