method,stacking,d_eq,gsfe,be
KC-QMC,AB,3.441864148925497,0.0,23.212783460232913
KC-QMC,SP,3.4597326614987383,0.5594329528572075,22.653350507375706
KC-QMC,Mid,3.5480893857020774,2.571601941675965,20.641181518556948
KC-QMC,AA,3.6496879303276817,4.566583760419292,18.64619969981362
KC-Ouyang,AB,3.3945264016344554,0.0,24.818775224359683
KC-Ouyang,SP,3.420028640915937,0.7129609810863258,24.105814243273358
KC-Ouyang,Mid,3.4988024612569215,2.542474410611419,22.276300813748264
KC-Ouyang,AA,3.6107214332758204,4.895411498125156,19.923363726234527
KC-DFT-D2,AB,3.2595529361167523,0.0,23.7753572761373
KC-DFT-D2,SP,3.289797510755127,1.0309867237529602,22.74437055238434
KC-DFT-D2,Mid,3.3891732060125928,3.3822186725221854,20.393138603615114
KC-DFT-D2,AA,3.5313448094472486,6.217830584240687,17.557526691896612
KC-DFT-D3,AB,3.541631754924011,0.0,19.404673125239526
KC-DFT-D3,SP,3.5657684744007923,0.4830365015237703,18.921636623715756
KC-DFT-D3,Mid,3.6261046849394063,1.5502586416037047,17.85441448363582
KC-DFT-D3,AA,3.7200535267457098,3.105922990409283,16.298750134830243
