written by TR 
1.000000000 
121.242847000 0.000000000 0.000000000 
60.621423500 104.999385529 0.000000000 
0.000000000 0.000000000 15.000000000 
Type1 
9748
Cartesian 
0.73724500 1.21085000 2.93666000 
-0.00000488 0.00000014 2.93424000 
2.94436000 4.84610000 2.96359000 
2.21027000 3.63344000 2.95296000 
2.89063000 2.38962000 2.94936000 
2.15447000 1.17809000 2.94123000 
5.14209000 8.48710000 2.98805000 
4.41170000 7.27227000 2.98195000 
5.09351000 6.02896000 2.97874000 
4.36143000 4.81500000 2.96962000 
5.04210000 3.57127000 2.96742000 
4.30776000 2.35854000 2.95787000 
4.98802000 1.11481000 2.95941000 
6.55914000 8.45752000 2.99089000 
7.24139000 7.21438000 2.98987000 
6.51053000 5.99963000 2.98392000 
7.19185000 4.75620000 2.98293000 
6.45915000 3.54237000 2.97547000 
7.13995000 2.29890000 2.97635000 
6.40518000 1.08621000 2.96957000 
9.38906000 8.40110000 2.99673000 
8.65845000 7.18622000 2.99310000 
9.34077000 5.94329000 2.99269000 
8.60891000 4.72894000 2.98804000 
9.29062000 3.48592000 2.98828000 
8.55708000 2.27241000 2.98355000 
9.23879000 1.02962000 2.98555000 
-0.00000097 -0.00000493 6.46571000 
2.77838000 2.51987000 6.45062000 
2.09729000 1.27668000 6.45873000 
2.83451000 0.06576670 6.45658000 
4.82742000 6.24500000 6.42146000 
4.14220000 5.00420000 6.43036000 
4.87875000 3.79302000 6.43266000 
4.19577000 2.55101000 6.44207000 
4.93283000 1.33994000 6.44059000 
4.25175000 0.09681550 6.44701000 
6.19679000 8.72670000 6.40980000 
6.93167000 7.51461000 6.41125000 
6.24512000 6.27461000 6.41630000 
6.98104000 5.06300000 6.41740000 
6.29630000 3.82205000 6.42441000 
7.03288000 2.61064000 6.42364000 
6.35017000 1.36856000 6.43033000 
7.08643000 0.15679000 6.42636000 
9.03635000 8.78300000 6.40664000 
8.34941000 7.54317000 6.40815000 
9.08441000 6.33093000 6.40820000 
8.39867000 5.09050000 6.41172000 
9.13442000 3.87853000 6.41136000 
8.45034000 2.63724000 6.41594000 
9.18625000 1.42519000 6.41417000 
8.50369000 0.18302000 6.41806000 
10.80620000 8.37325000 2.99875000 
11.48980000 7.13095000 2.99823000 
10.75790000 5.91666000 2.99493000 
11.44080000 4.67423000 2.99439000 
10.70780000 3.46044000 2.99159000 
11.39030000 2.21801000 2.99206000 
10.65600000 1.00482000 2.99010000 
13.63900000 8.31834000 3.00336000 
12.90700000 7.10425000 2.99920000 
13.59110000 5.86245000 2.99773000 
12.85800000 4.64879000 2.99501000 
13.54150000 3.40683000 2.99424000 
12.80750000 2.19354000 2.99322000 
13.49060000 0.95150800 2.99389000 
15.05640000 8.29173000 3.00499000 
15.74150000 7.05047000 3.00280000 
15.00840000 5.83686000 2.99795000 
15.69280000 4.59539000 2.99614000 
14.95880000 3.38220000 2.99392000 
15.64240000 2.14043000 2.99373000 
14.90780000 0.92740700 2.99409000 
17.89110000 8.23958000 3.01276000 
17.15880000 7.02547000 3.00481000 
17.84390000 5.78437000 3.00243000 
17.11010000 4.57102000 2.99689000 
17.79430000 3.32957000 2.99592000 
17.05970000 2.11657000 2.99404000 
17.74310000 0.87475800 2.99554000 
10.45400000 8.81134000 6.40460000 
11.18790000 7.59839000 6.40360000 
10.50200000 6.35794000 6.40470000 
11.23670000 5.14526000 6.40421000 
10.55190000 3.90423000 6.40663000 
11.28710000 2.69170000 6.40625000 
10.60360000 1.45005000 6.40902000 
11.33870000 0.23734700 6.40803000 
13.29130000 8.86623000 6.39953000 
12.60540000 7.62561000 6.40028000 
13.33890000 6.41220000 6.39922000 
12.65410000 5.17106000 6.40084000 
13.38830000 3.95794000 6.40095000 
12.70450000 2.71637000 6.40323000 
13.43920000 1.50341000 6.40392000 
12.75590000 0.26151700 6.40585000 
14.70870000 8.89345000 6.39436000 
15.44130000 7.67944000 6.39279000 
14.75630000 6.43827000 6.39512000 
15.48960000 5.22456000 6.39517000 
14.80560000 3.98289000 6.39809000 
15.53980000 2.76954000 6.39957000 
14.85640000 1.52762000 6.40246000 
15.59100000 0.31453200 6.40418000 
17.54450000 8.94563000 6.38307000 
16.85860000 7.70497000 6.38683000 
17.59120000 6.49080000 6.38687000 
16.90690000 5.24931000 6.39098000 
17.64040000 4.03555000 6.39271000 
16.95700000 2.79362000 6.39713000 
17.69140000 1.58029000 6.39959000 
17.00830000 0.33827000 6.40321000 
19.30840000 8.21638000 3.01739000 
19.99390000 6.97550000 3.01540000 
19.26120000 5.76137000 3.00608000 
19.94580000 4.52020000 3.00459000 
19.21160000 3.30685000 2.99856000 
19.89530000 2.06526000 2.99942000 
19.16040000 0.85217400 2.99779000 
22.14180000 8.17051000 3.03350000 
21.41110000 6.95497000 3.02200000 
22.09610000 5.71400000 3.02062000 
21.36310000 4.49970000 3.01050000 
22.04710000 3.25836000 3.01041000 
21.31260000 2.04481000 3.00437000 
21.99580000 0.80313200 3.00710000 
23.55880000 8.15305000 3.04169000 
24.24420000 6.91226000 3.04124000 
23.51320000 5.69648000 3.02894000 
24.19760000 4.45543000 3.02806000 
23.46430000 3.24088000 3.01801000 
24.14780000 1.99951000 3.01898000 
23.41300000 0.78566500 3.01354000 
26.38980000 8.11551000 3.06246000 
25.66120000 6.89797000 3.05023000 
26.34620000 5.65724000 3.04913000 
25.61470000 4.44126000 3.03691000 
26.29870000 3.20028000 3.03596000 
25.56500000 1.98548000 3.02684000 
26.24850000 0.74436500 3.02793000 
27.80670000 8.10423000 3.07074000 
27.76310000 5.64627000 3.05759000 
27.71580000 3.18963000 3.04387000 
27.66580000 0.73393600 3.03457000 
18.96200000 8.96937000 6.37577000 
19.69430000 7.75493000 6.37642000 
19.00860000 6.51422000 6.38127000 
19.74170000 5.30013000 6.38315000 
19.05770000 4.05856000 6.38866000 
19.79180000 2.84493000 6.39137000 
19.10860000 1.60298000 6.39679000 
19.84350000 0.38974600 6.39849000 
21.79960000 9.01516000 6.36612000 
21.11180000 7.77583000 6.37062000 
21.84470000 6.56150000 6.37293000 
21.15910000 5.32090000 6.37824000 
21.89310000 4.10697000 6.38099000 
21.20910000 2.86552000 6.38702000 
21.94390000 1.65199000 6.38891000 
21.26070000 0.41020900 6.39415000 
23.21730000 9.03285000 6.36163000 
23.95020000 7.81834000 6.36480000 
23.26230000 6.57918000 6.36860000 
23.99600000 5.36499000 6.37142000 
23.31050000 4.12457000 6.37639000 
24.04510000 2.91071000 6.37834000 
23.36120000 1.66950000 6.38359000 
24.09630000 0.45582300 6.38278000 
26.05850000 9.07016000 6.36040000 
25.36790000 7.83264000 6.36215000 
26.10140000 6.61817000 6.36519000 
25.41360000 5.37916000 6.36793000 
26.14800000 4.16495000 6.36986000 
25.46260000 2.92475000 6.37357000 
26.19760000 1.71071000 6.37326000 
25.51360000 0.46980900 6.37644000 
27.47640000 9.08129000 6.35971000 
27.51920000 6.62901000 6.36346000 
27.56560000 4.17552000 6.36668000 
27.61500000 1.72112000 6.36834000 
28.53290000 9.32353000 3.08142000 
28.49240000 6.86387000 3.07008000 
28.44790000 4.40573000 3.05520000 
28.39990000 1.94896000 3.04221000 
29.94960000 9.31481000 3.08842000 
30.63630000 8.07487000 3.08873000 
29.90930000 6.85566000 3.07717000 
30.59510000 5.61563000 3.07412000 
29.86490000 4.39808000 3.06201000 
30.54980000 3.15791000 3.05811000 
29.81700000 1.94176000 3.04820000 
30.50170000 0.70162300 3.04556000 
32.77790000 9.28951000 3.10428000 
32.05300000 8.06887000 3.09422000 
32.74000000 6.82937000 3.09121000 
32.01190000 5.61039000 3.07934000 
32.69790000 4.37076000 3.07401000 
31.96680000 3.15336000 3.06284000 
32.65210000 1.91368000 3.05772000 
31.91880000 0.69748800 3.04945000 
34.19460000 9.28519000 3.10830000 
34.88270000 8.04623000 3.10588000 
34.15670000 6.82595000 3.09483000 
34.84390000 5.58689000 3.08893000 
34.11480000 4.36822000 3.07732000 
34.80100000 3.12905000 3.07045000 
34.06920000 1.91180000 3.06059000 
34.75520000 0.67270000 3.05488000 
37.02360000 9.26552000 3.11792000 
36.29940000 8.04412000 3.10807000 
36.98790000 6.80563000 3.10225000 
36.26070000 5.58579000 3.09086000 
36.94810000 4.34714000 3.08304000 
36.21790000 3.12881000 3.07225000 
36.90460000 1.89009000 3.06481000 
36.17230000 0.67295500 3.05648000 
28.20950000 7.86649000 6.36315000 
28.25320000 5.41442000 6.36531000 
28.30040000 2.96109000 6.36670000 
28.35000000 0.50661200 6.36510000 
30.32010000 9.11052000 6.36455000 
29.62740000 7.87447000 6.36298000 
30.36070000 6.65944000 6.36477000 
29.67080000 5.42190000 6.36384000 
30.40510000 4.20704000 6.36396000 
29.71790000 2.96821000 6.36367000 
30.45260000 1.75334000 6.36136000 
29.76730000 0.51362800 6.36046000 
31.73810000 9.11623000 6.36535000 
32.47060000 7.90071000 6.36717000 
31.77850000 6.66447000 6.36450000 
32.51200000 5.44911000 6.36452000 
31.82270000 4.21147000 6.36249000 
32.55700000 2.99619000 6.36073000 
31.87000000 1.75744000 6.35863000 
32.60440000 0.54194500 6.35402000 
34.58270000 9.13906000 6.37108000 
33.88850000 7.90393000 6.36742000 
34.62100000 6.68802000 6.36726000 
33.92970000 5.45152000 6.36394000 
34.66320000 4.23576000 6.36235000 
33.97440000 2.99802000 6.35930000 
34.70840000 1.78221000 6.35572000 
34.02160000 0.54357000 6.35178000 
36.00060000 9.14102000 6.37129000 
