written by TR 
1.000000000 
83.079096800 0.000000000 0.000000000 
41.539548400 71.948608352 0.000000000 
0.000000000 0.000000000 18.399999600 
Type1 
4564
Cartesian 
0.00000445 -0.00000027 7.43596000 
2.15850000 1.17785000 7.44307000 
3.57777000 1.14487000 7.45128000 
6.41533000 1.08142000 7.47145000 
7.83459000 1.05322000 7.48008000 
1.47851000 2.42421000 7.44525000 
2.21610000 3.63725000 7.45491000 
3.63529000 3.60429000 7.46132000 
4.31552000 2.35801000 7.45986000 
5.73470000 2.32730000 7.46918000 
6.47073000 3.54161000 7.47725000 
7.88988000 3.51288000 7.48398000 
8.57124000 2.26735000 7.48508000 
3.68953000 6.06460000 7.47534000 
4.37081000 4.81866000 7.47145000 
5.78992000 4.78764000 7.47794000 
6.52384000 6.00305000 7.48525000 
7.94297000 5.97350000 7.48949000 
8.62476000 4.72794000 7.48936000 
4.42300000 7.28005000 7.48329000 
5.84212000 7.24882000 7.48684000 
6.57462000 8.46491000 7.49146000 
7.99379000 8.43462000 7.49375000 
8.67633000 7.18926000 7.49370000 
5.89199000 9.71033000 7.49242000 
8.72627000 9.65071000 7.49620000 
10.67270000 0.99564100 7.49108000 
12.09210000 0.96974500 7.49337000 
14.93120000 0.91358000 7.49540000 
16.35060000 0.88815100 7.49652000 
9.99048000 2.24053000 7.48986000 
10.72640000 3.45513000 7.49297000 
12.14570000 3.42853000 7.49469000 
12.82870000 2.18397000 7.49465000 
14.24800000 2.15799000 7.49530000 
14.98470000 3.37216000 7.49744000 
16.40410000 3.34639000 7.49898000 
17.08770000 2.10221000 7.49858000 
10.04400000 4.70015000 7.49274000 
10.77860000 5.91532000 7.49607000 
12.19790000 5.88752000 7.49765000 
12.88150000 4.64310000 7.49723000 
14.30090000 4.61631000 7.49826000 
15.03670000 5.83078000 7.50242000 
16.45610000 5.80442000 7.50519000 
17.14060000 4.56063000 7.50401000 
10.09560000 7.16024000 7.49599000 
10.82910000 8.37583000 7.49892000 
12.24850000 8.34678000 7.50103000 
12.93270000 7.10249000 7.50110000 
14.35210000 7.07467000 7.50322000 
15.08660000 8.28973000 7.50872000 
16.50610000 8.26281000 7.51298000 
17.19140000 7.01927000 7.51236000 
10.14560000 9.62065000 7.49817000 
12.98210000 9.56225000 7.50492000 
14.40160000 9.53354000 7.50852000 
17.23940000 9.47868000 7.52084000 
19.19010000 0.83365700 7.50277000 
20.60950000 0.81178300 7.50808000 
23.44900000 0.76363200 7.52208000 
24.86830000 0.74852900 7.52937000 
18.50700000 2.07798000 7.50182000 
19.24390000 3.29227000 7.50750000 
20.66330000 3.27037000 7.51362000 
21.34660000 2.02632000 7.51375000 
22.76590000 2.00761000 7.52110000 
23.50230000 3.22296000 7.53010000 
24.92150000 3.20773000 7.53796000 
