written by TR 
1.000000000 
108.481827000 0.000000000 0.000000000 
54.240913500 93.948018031 0.000000000 
0.000000000 0.000000000 18.400000000 
Type1 
7804
Cartesian 
0.73403600 1.21296000 7.39520000 
2.93494000 4.85256000 7.40209000 
2.20177000 3.63910000 7.39895000 
2.88528000 2.39694000 7.39803000 
2.15150000 1.18381000 7.39615000 
5.13188000 8.49457000 7.41519000 
4.40072000 7.27994000 7.41033000 
5.08469000 6.03791000 7.40839000 
4.35238000 4.82391000 7.40424000 
5.03594000 3.58174000 7.40340000 
4.30273000 2.36824000 7.40031000 
4.98622000 1.12609000 7.40076000 
6.54925000 8.46681000 7.41806000 
7.23333000 7.22476000 7.41639000 
6.50208000 6.01008000 7.41151000 
7.18575000 4.76791000 7.41078000 
6.45336000 3.55387000 7.40674000 
7.13692000 2.31174000 7.40716000 
6.40367000 1.09819000 7.40423000 
8.65066000 7.19802000 7.42016000 
8.60312000 4.74115000 7.41483000 
8.55434000 2.28497000 7.41144000 
9.38066000 8.41351000 7.42550000 
9.33448000 5.95589000 7.41953000 
9.28681000 3.49907000 7.41520000 
9.23821000 1.04307000 7.41297000 
10.79790000 8.38807000 7.42959000 
11.48200000 7.14600000 7.42903000 
10.75180000 5.93047000 7.42392000 
11.43570000 4.68845000 7.42421000 
10.70420000 3.47367000 7.41990000 
11.38820000 2.23184000 7.42124000 
10.65560000 1.01768000 7.41792000 
13.62810000 8.33849000 7.43872000 
12.89920000 7.12208000 7.43342000 
13.58340000 5.88017000 7.43357000 
12.85300000 4.66461000 7.42895000 
13.53720000 3.42288000 7.43005000 
12.80560000 2.20805000 7.42633000 
13.49020000 0.96664300 7.42847000 
15.04530000 8.31617000 7.44279000 
15.72980000 7.07441000 7.44274000 
15.00060000 5.85799000 7.43800000 
15.68510000 4.61641000 7.43881000 
14.95460000 3.40081000 7.43490000 
15.63940000 2.15952000 7.43672000 
14.90760000 0.94461900 7.43372000 
17.87490000 8.27123000 7.45136000 
17.14700000 7.05395000 7.44660000 
17.83190000 5.81253000 7.44707000 
17.10240000 4.59612000 7.44312000 
17.78750000 3.35498000 7.44458000 
17.05670000 2.13935000 7.44153000 
17.74230000 0.89860300 7.44399000 
19.29210000 8.25248000 7.45445000 
19.97740000 7.01129000 7.45455000 
19.24910000 5.79404000 7.45063000 
19.93450000 4.55309000 7.45169000 
19.20480000 3.33667000 7.44870000 
19.89070000 2.09608000 7.45080000 
19.15970000 0.88038600 7.44869000 
22.12160000 8.21262000 7.46113000 
21.39460000 6.99453000 7.45725000 
22.08040000 5.75382000 7.45790000 
21.35180000 4.53660000 7.45497000 
22.03800000 3.29620000 7.45669000 
21.30800000 2.07976000 7.45472000 
21.99470000 0.83977200 7.45741000 
23.53880000 8.19751000 7.46295000 
24.22520000 6.95707000 7.46320000 
23.49760000 5.73906000 7.46030000 
24.18420000 4.49888000 7.46162000 
23.45530000 3.28169000 7.45975000 
24.14220000 2.04187000 7.46212000 
23.41210000 0.82539100 7.46115000 
26.36880000 8.16268000 7.46770000 
25.64240000 6.94392000 7.46476000 
26.32940000 5.70400000 7.46569000 
25.60150000 4.48607000 7.46383000 
26.28880000 3.24646000 7.46585000 
25.55960000 2.02926000 7.46502000 
26.24740000 0.79005000 7.46793000 
27.78600000 8.15099000 7.46853000 
28.47360000 6.91137000 7.46910000 
27.74660000 5.69273000 7.46714000 
28.43440000 4.45336000 7.46880000 
27.70610000 3.23547000 7.46797000 
28.39420000 1.99643000 7.47059000 
27.66480000 0.77922200 7.47070000 
30.61680000 8.12076000 7.47210000 
29.89070000 6.90148000 7.46993000 
30.57900000 5.66237000 7.47124000 
29.85160000 4.44384000 7.47025000 
30.54010000 3.20500000 7.47255000 
29.81150000 1.98715000 7.47264000 
30.50050000 0.74866600 7.47568000 
32.03390000 8.11207000 7.47244000 
32.72270000 6.87327000 7.47344000 
31.99620000 5.65414000 7.47215000 
32.68510000 4.41553000 7.47413000 
31.95730000 3.19708000 7.47400000 
32.64650000 1.95876000 7.47678000 
31.91780000 0.74090800 7.47763000 
34.86560000 8.08580000 7.47564000 
34.13990000 6.86614000 7.47396000 
34.82930000 5.62779000 7.47562000 
34.10230000 4.40880000 7.47513000 
34.79180000 3.17066000 7.47759000 
34.06380000 1.95227000 7.47820000 
34.75370000 0.71442300 7.48119000 
36.28280000 8.07960000 7.47589000 
36.97270000 6.84154000 7.47725000 
36.24650000 5.62206000 7.47629000 
36.93640000 4.38414000 7.47842000 
36.20910000 3.16525000 7.47862000 
36.89920000 1.92755000 7.48132000 
36.17110000 0.70917000 7.48252000 
38.42500000 9.29427000 7.47807000 
39.11560000 8.05652000 7.47919000 
38.38990000 6.83663000 7.47772000 
39.08030000 5.59896000 7.47953000 
38.35360000 4.37963000 7.47920000 
39.04410000 3.14210000 7.48157000 
38.31650000 1.92328000 7.48232000 
39.00720000 0.68596400 7.48500000 
41.25780000 9.27249000 7.48152000 
40.53280000 8.05226000 7.47953000 
41.22370000 6.81485000 7.48106000 
40.49750000 5.59516000 7.48014000 
41.18840000 4.35783000 7.48218000 
40.46130000 3.13863000 7.48235000 
41.15230000 1.90143000 7.48473000 
40.42450000 0.68264000 7.48589000 
42.67510000 9.26872000 7.48178000 
43.36660000 8.03160000 7.48307000 
42.64090000 6.81161000 7.48157000 
43.33220000 5.57450000 7.48330000 
42.60560000 4.35498000 7.48283000 
43.29680000 3.11794000 7.48488000 
42.56950000 1.89882000 7.48544000 
43.26090000 0.66191000 7.48759000 
44.78380000 8.02875000 7.48352000 
44.74940000 5.57211000 7.48388000 
44.71410000 3.11586000 7.48549000 
44.67820000 0.65997500 7.48815000 
45.50910000 9.24896000 7.48556000 
45.47560000 6.79188000 7.48498000 
45.44100000 4.33524000 7.48560000 
45.40560000 1.87906000 7.48733000 
46.92640000 9.24636000 7.48595000 
47.61870000 8.00975000 7.48721000 
46.89280000 6.78980000 7.48551000 
47.58480000 5.55313000 7.48695000 
46.85820000 4.33355000 7.48616000 
47.55000000 3.09687000 7.48768000 
46.82290000 1.87758000 7.48782000 
47.51470000 0.64095800 7.48929000 
49.76150000 9.22790000 7.48989000 
49.03600000 8.00783000 7.48770000 
49.72840000 6.77138000 7.48891000 
49.00210000 5.55166000 7.48748000 
49.69420000 4.31513000 7.48871000 
48.96730000 3.09569000 7.48814000 
49.65920000 1.85915000 7.48930000 
48.93200000 0.63991500 7.48961000 
51.17890000 9.22599000 7.49031000 
51.87180000 7.98977000 7.49137000 
51.14570000 6.76998000 7.48940000 
51.83820000 5.53363000 7.49039000 
51.11150000 4.31410000 7.48916000 
51.80360000 3.07767000 7.49002000 
51.07650000 1.85833000 7.48961000 
51.76860000 0.62188300 7.49029000 
54.01520000 9.20811000 7.49418000 
53.28920000 7.98830000 7.49180000 
53.98210000 6.75215000 7.49262000 
53.25550000 5.53259000 7.49081000 
53.94790000 4.29629000 7.49143000 
53.22090000 3.07692000 7.49033000 
53.91310000 1.84053000 7.49072000 
53.18590000 0.62126000 7.49042000 
55.43260000 9.20641000 7.49450000 
56.12600000 7.97048000 7.49523000 
55.39950000 6.75096000 7.49299000 
56.09230000 5.51481000 7.49342000 
55.36530000 4.29546000 7.49172000 
56.05770000 3.05916000 7.49186000 
55.33040000 1.83991000 7.49086000 
56.02260000 0.60351200 7.49071000 
58.27000000 9.18841000 7.49801000 
57.54350000 7.96898000 7.49549000 
58.23660000 6.73302000 7.49582000 
57.50960000 5.51375000 7.49366000 
58.20230000 4.27756000 7.49360000 
57.47500000 3.05838000 7.49198000 
58.16720000 1.82203000 7.49157000 
57.43990000 0.60285300 7.49065000 
59.68760000 9.18646000 7.49807000 
60.38120000 7.95070000 7.49840000 
59.65410000 6.73157000 7.49595000 
60.34700000 5.49552000 7.49577000 
59.61960000 4.27648000 7.49367000 
60.31210000 3.04020000 7.49304000 
59.58450000 1.82114000 7.49149000 
60.27660000 0.58469600 7.49051000 
62.52600000 9.16764000 7.50085000 
61.79870000 7.94871000 7.49831000 
62.49200000 6.71283000 7.49812000 
61.76450000 5.49397000 7.49571000 
62.45710000 4.25779000 7.49495000 
61.72940000 3.03893000 7.49290000 
62.42160000 1.80250000 7.49169000 
61.69390000 0.58354100 7.49023000 
63.94360000 9.16496000 7.50046000 
64.63740000 7.92927000 7.50034000 
