written by TR 
1.000000000 
91.467455600 0.000000000 0.000000000 
45.733727800 79.213140169 0.000000000 
0.000000000 0.000000000 18.400000000 
Type1 
5548
Cartesian 
0.73443600 1.21274000 7.37556000 
2.93704000 4.85141000 7.38039000 
2.20312000 3.63837000 7.37810000 
2.88621000 2.39595000 7.37746000 
2.15192000 1.18312000 7.37619000 
5.13689000 8.49176000 7.39154000 
4.40447000 7.27786000 7.38712000 
5.08784000 6.03550000 7.38544000 
4.35451000 4.82210000 7.38205000 
5.03763000 3.57966000 7.38140000 
4.30369000 2.36660000 7.37907000 
4.98677000 1.12419000 7.37941000 
7.28560000 9.67773000 7.39956000 
6.55432000 8.46313000 7.39421000 
7.23776000 7.22073000 7.39258000 
6.50528000 6.00678000 7.38810000 
7.18844000 4.76432000 7.38748000 
6.45508000 3.55086000 7.38405000 
7.13820000 2.30844000 7.38442000 
6.40424000 1.09533000 7.38205000 
8.70298000 9.65003000 7.40299000 
8.65515000 7.19290000 7.39614000 
8.60586000 4.73639000 7.39112000 
8.55564000 2.28043000 7.38811000 
9.38649000 8.40758000 7.40151000 
9.33837000 5.95041000 7.39560000 
9.28902000 3.49396000 7.39156000 
9.23896000 1.03816000 7.38951000 
11.53380000 9.59653000 7.41163000 
10.80380000 8.38095000 7.40569000 
11.48710000 7.13845000 7.40529000 
10.75570000 5.92367000 7.40002000 
11.43900000 4.68125000 7.40052000 
10.70640000 3.46712000 7.39614000 
11.38980000 2.22488000 7.39758000 
10.65640000 1.01126000 7.39421000 
12.95110000 9.57133000 7.41602000 
13.63450000 8.32885000 7.41582000 
12.90440000 7.11318000 7.41011000 
13.58780000 5.87078000 7.41070000 
12.85630000 4.65590000 7.40568000 
13.53980000 3.41370000 7.40713000 
12.80720000 2.19946000 7.40298000 
13.49110000 0.95756800 7.40528000 
15.78040000 9.52190000 7.42636000 
15.05180000 8.30524000 7.42059000 
15.73530000 7.06292000 7.42129000 
15.00510000 5.84716000 7.41598000 
15.68870000 4.60503000 7.41741000 
14.95720000 3.39005000 7.41281000 
15.64120000 2.14823000 7.41498000 
14.90850000 0.93388300 7.41124000 
17.19760000 9.50002000 7.43069000 
17.88150000 8.25784000 7.43149000 
17.15250000 7.04114000 7.42623000 
17.83650000 5.79914000 7.42763000 
17.10600000 4.58331000 7.42289000 
17.79020000 3.34161000 7.42491000 
17.05850000 2.12652000 7.42087000 
17.74330000 0.88523600 7.42348000 
20.02620000 9.45555000 7.44077000 
19.29860000 8.23791000 7.43577000 
19.98290000 6.99611000 7.43713000 
19.25370000 5.77938000 7.43250000 
19.93820000 4.53785000 7.43435000 
19.20750000 3.32196000 7.43029000 
19.89250000 2.08081000 7.43261000 
19.16070000 0.86562800 7.42926000 
21.44340000 9.43739000 7.44418000 
22.12810000 8.19585000 7.44551000 
21.40010000 6.97825000 7.44114000 
22.08500000 5.73695000 7.44282000 
21.35540000 4.52022000 7.43892000 
22.04070000 3.27927000 7.44095000 
21.30980000 2.06331000 7.43765000 
21.99570000 0.82280500 7.43999000 
24.27220000 9.39817000 7.45265000 
23.54530000 8.17976000 7.44858000 
24.23070000 6.93874000 7.45012000 
23.50220000 5.72121000 7.44644000 
24.18780000 4.48049000 7.44823000 
23.45800000 3.26376000 7.44508000 
24.14410000 2.02344000 7.44707000 
23.41310000 0.80742000 7.44453000 
25.68930000 9.38364000 7.45481000 
26.37530000 8.14296000 7.45624000 
25.64780000 6.92470000 7.45278000 
26.33400000 5.68426000 7.45437000 
25.60510000 4.46680000 7.45138000 
26.29160000 3.22669000 7.45310000 
25.56140000 2.00996000 7.45068000 
26.24850000 0.77027500 7.45248000 
28.51900000 9.34928000 7.46131000 
27.79240000 8.13038000 7.45802000 
28.47910000 6.89027000 7.45946000 
27.75110000 5.67216000 7.45660000 
28.43810000 4.43231000 7.45811000 
27.70880000 3.21492000 7.45579000 
28.39620000 1.97541000 7.45733000 
27.66590000 0.75866000 7.45559000 
29.93610000 9.33794000 7.46233000 
30.62350000 8.09818000 7.46366000 
29.89630000 6.87951000 7.46089000 
30.58370000 5.63995000 7.46224000 
29.85530000 4.42198000 7.45996000 
30.54300000 3.18269000 7.46131000 
29.81340000 1.96534000 7.45960000 
30.50160000 0.72639400 7.46089000 
32.76720000 9.30765000 7.46713000 
32.04070000 8.08852000 7.46440000 
32.72870000 6.84929000 7.46564000 
32.00090000 5.63082000 7.46337000 
32.68910000 4.39178000 7.46457000 
31.96020000 3.17392000 7.46284000 
32.64870000 1.93513000 7.46396000 
31.91890000 0.71780000 7.46282000 
34.18440000 9.29884000 7.46731000 
34.87310000 8.05996000 7.46847000 
34.14590000 6.84111000 7.46616000 
34.83460000 5.60234000 7.46726000 
34.10630000 4.38405000 7.46546000 
34.79510000 3.14546000 7.46647000 
34.06590000 1.92768000 7.46525000 
34.75500000 0.68932500 7.46613000 
36.29040000 8.05248000 7.46849000 
36.25180000 5.59541000 7.46762000 
36.21230000 3.13890000 7.46719000 
36.17230000 0.68292900 7.46723000 
37.01710000 9.27162000 7.47086000 
36.97960000 6.81402000 7.46951000 
36.94100000 4.35704000 7.46854000 
36.90160000 1.90068000 7.46798000 
38.43440000 9.26462000 7.47045000 
39.12420000 8.02648000 7.47143000 
38.39680000 6.80765000 7.46941000 
39.08650000 5.56952000 7.47027000 
38.35820000 4.35113000 7.46878000 
39.04780000 3.11307000 7.46950000 
38.31890000 1.89503000 7.46858000 
39.00860000 0.65709900 7.46913000 
41.26870000 9.23939000 7.47307000 
40.54160000 8.02044000 7.47094000 
41.23170000 6.78259000 7.47175000 
40.50370000 5.56403000 7.47009000 
41.19370000 4.32616000 7.47076000 
40.46510000 3.10793000 7.46966000 
41.15500000 1.87010000 7.47016000 
40.42590000 0.65211400 7.46965000 
42.68610000 9.23346000 7.47223000 
43.37690000 7.99590000 7.47301000 
42.64910000 6.77728000 7.47119000 
43.33940000 5.53963000 7.47182000 
42.61100000 4.32130000 7.47053000 
43.30120000 3.08360000 7.47098000 
42.57230000 1.86549000 7.47027000 
43.26240000 0.62781200 7.47054000 
45.52200000 9.20915000 7.47407000 
44.79430000 7.99056000 7.47211000 
45.48520000 6.75315000 7.47271000 
44.75680000 5.53482000 7.47122000 
45.44730000 4.29728000 7.47164000 
44.71840000 3.07914000 7.47071000 
45.40870000 1.84153000 7.47095000 
44.67960000 0.62349000 7.47062000 
46.93960000 9.20354000 7.47284000 
47.63100000 7.96640000 7.47340000 
46.90260000 6.74816000 7.47176000 
47.59350000 5.51081000 7.47214000 
46.86460000 4.29273000 7.47101000 
47.55510000 3.05523000 7.47121000 
46.82600000 1.83722000 7.47066000 
47.51630000 0.59962800 7.47066000 
49.77710000 9.17906000 7.47387000 
49.04850000 7.96101000 7.47211000 
49.73990000 6.72388000 7.47245000 
49.01090000 5.50596000 7.47114000 
49.70160000 4.26858000 7.47130000 
48.97240000 3.05071000 7.47054000 
49.66280000 1.81316000 7.47051000 
48.93350000 0.59524800 7.47034000 
51.19480000 9.17305000 7.47222000 
51.88660000 7.93615000 7.47252000 
51.15740000 6.71848000 7.47108000 
51.84850000 5.48127000 7.47118000 
51.11900000 4.26362000 7.47025000 
51.80960000 3.02614000 7.47016000 
51.08010000 1.80843000 7.46979000 
51.77020000 0.57075300 7.46952000 
54.03370000 9.14735000 7.47226000 
53.30420000 7.93000000 7.47075000 
53.99570000 6.69298000 7.47079000 
53.26600000 5.47564000 7.46972000 
53.95670000 4.23827000 7.46956000 
53.22700000 3.02085000 7.46902000 
53.91710000 1.78318000 7.46869000 
53.18750000 0.56559300 7.46874000 
55.45150000 9.14021000 7.47008000 
56.14350000 7.90341000 7.47002000 
55.41340000 6.68646000 7.46887000 
56.10440000 5.44921000 7.46862000 
55.37420000 4.23217000 7.46796000 
56.06450000 2.99455000 7.46753000 
55.33450000 1.77731000 7.46744000 
