written by TR 
1.000000000 
82.960466000 0.000000000 0.000000000 
0.000000000 143.691742000 0.000000000 
0.000000000 0.000000000 18.400000000 
Type1 
9128
Cartesian 
0.20739100 9.82046000 7.39218000 
0.89113200 8.57830000 7.38810000 
0.15716800 7.36535000 7.38452000 
0.84015100 6.12284000 7.38160000 
0.10549700 4.91025000 7.37914000 
0.78801000 3.66751000 7.37739000 
0.05294920 2.45514000 7.37603000 
0.73523100 1.21228000 7.37535000 
-0.00000008 0.00000011 7.37502000 
3.04172000 9.76130000 7.39355000 
2.30865000 8.54784000 7.38889000 
2.99169000 7.30528000 7.38595000 
2.25765000 6.09234000 7.38234000 
2.94019000 4.84957000 7.38055000 
2.20549000 3.63698000 7.37808000 
2.88779000 2.39411000 7.37739000 
2.15271000 1.18173000 7.37602000 
4.45920000 9.73121000 7.39542000 
5.14230000 8.48859000 7.39252000 
4.40916000 7.27512000 7.38778000 
5.09175000 6.03231000 7.38597000 
4.35766000 4.81935000 7.38233000 
5.03998000 3.57646000 7.38163000 
4.30526000 2.36385000 7.37913000 
4.98754000 1.12098000 7.37949000 
7.29169000 9.67328000 7.40110000 
6.55973000 8.45908000 7.39538000 
7.24238000 7.21622000 7.39364000 
6.50918000 6.00269000 7.38884000 
7.19155000 4.75977000 7.38817000 
6.45743000 3.54676000 7.38448000 
7.13974000 2.30389000 7.38488000 
6.40500000 1.09123000 7.38233000 
8.70906000 9.64472000 7.40474000 
8.65976000 7.18753000 7.39745000 
8.60895000 4.73098000 7.39208000 
8.55718000 2.27501000 7.38884000 
9.39179000 8.40182000 7.40318000 
9.34219000 5.94459000 7.39687000 
9.29132000 3.48810000 7.39254000 
9.23971000 1.03229000 7.39035000 
11.53970000 9.58957000 7.41389000 
10.80910000 8.37436000 7.40761000 
11.49160000 7.13141000 7.40719000 
10.75950000 5.91703000 7.40158000 
11.44200000 4.67415000 7.40212000 
10.70870000 3.46045000 7.39745000 
11.39130000 2.21775000 7.39898000 
10.65720000 1.00456000 7.39538000 
12.95700000 9.56358000 7.41849000 
13.63970000 8.32065000 7.41830000 
12.90890000 7.10536000 7.41228000 
13.59150000 5.86252000 7.41291000 
12.85930000 4.64804000 7.40759000 
13.54200000 3.40539000 7.40913000 
12.80870000 2.19158000 7.40473000 
13.49180000 0.94924400 7.40717000 
15.78630000 9.51258000 7.42929000 
15.05690000 8.29629000 7.42327000 
15.73970000 7.05354000 7.42401000 
15.00880000 5.83817000 7.41845000 
15.69170000 4.59562000 7.41995000 
14.95940000 3.38104000 7.41511000 
15.64260000 2.13879000 7.41740000 
14.90920000 0.92486000 7.41346000 
17.20340000 9.48996000 7.43374000 
17.88660000 8.24737000 7.43460000 
17.15700000 7.03107000 7.42912000 
17.84020000 5.78866000 7.43059000 
17.10900000 4.57323000 7.42565000 
17.79250000 3.33111000 7.42775000 
17.06000000 2.11644000 7.42355000 
17.74400000 0.87473200 7.42627000 
20.03210000 9.44398000 7.44410000 
19.30380000 8.22675000 7.43894000 
19.98740000 6.98456000 7.44035000 
19.25740000 5.76825000 7.43557000 
19.94120000 4.52633000 7.43748000 
19.20970000 3.31085000 7.43329000 
19.89400000 2.06930000 7.43567000 
19.16140000 0.85452200 7.43223000 
21.44930000 9.42507000 7.44750000 
22.13340000 8.18318000 7.44888000 
21.40460000 6.96603000 7.44439000 
22.08880000 5.72436000 7.44611000 
21.35840000 4.50808000 7.44210000 
22.04300000 3.26673000 7.44417000 
21.31130000 2.05120000 7.44080000 
21.99650000 0.81028400 7.44316000 
24.27840000 9.38425000 7.45608000 
23.55060000 8.16636000 7.45190000 
24.23540000 6.92499000 7.45347000 
23.50600000 5.70796000 7.44970000 
24.19100000 4.46686000 7.45150000 
23.46030000 3.25061000 7.44828000 
24.14570000 2.00987000 7.45027000 
23.41380000 0.79429500 7.44772000 
25.69550000 9.36890000 7.45813000 
26.38100000 8.12790000 7.45958000 
25.65250000 6.91021000 7.45603000 
26.33810000 5.66942000 7.45762000 
25.60820000 4.45249000 7.45456000 
26.29400000 3.21199000 7.45626000 
25.56300000 1.99574000 7.45381000 
26.24930000 0.75562300 7.45558000 
28.52580000 9.33271000 7.46460000 
27.79820000 8.11447000 7.46122000 
28.48430000 6.87402000 7.46265000 
27.75530000 5.65652000 7.45972000 
28.44150000 4.41629000 7.46118000 
27.71130000 3.19946000 7.45882000 
